,equity
2025-01-02,49821.029150500006
2025-01-03,49906.190813
2025-01-06,49760.943438
2025-01-07,49900.50413080001
2025-01-08,50014.56113080001
2025-01-10,49820.096130800004
2025-01-13,49883.024261900006
2025-01-14,49883.024261900006
2025-01-15,49883.024261900006
2025-01-16,49883.024261900006
2025-01-17,49883.024261900006
2025-01-21,49883.024261900006
2025-01-22,49883.024261900006
2025-01-23,49883.024261900006
2025-01-24,49883.024261900006
2025-01-27,50106.42517690001
2025-01-28,50196.93064440001
2025-01-29,50196.93064440001
2025-01-30,50196.93064440001
2025-01-31,50196.93064440001
2025-02-03,50196.93064440001
2025-02-04,50196.93064440001
2025-02-05,50196.93064440001
2025-02-06,50196.93064440001
2025-02-07,50196.93064440001
2025-02-10,50196.93064440001
2025-02-11,50196.93064440001
2025-02-12,50196.93064440001
2025-02-13,50196.93064440001
2025-02-14,50196.93064440001
2025-02-18,50430.34134840001
2025-02-19,50538.421348400014
2025-02-20,50643.14134840001
2025-02-21,50638.101348400014
2025-02-24,51247.94134840001
2025-02-25,51291.17790040001
2025-02-26,51291.17790040001
2025-02-27,51291.17790040001
2025-02-28,51291.17790040001
2025-03-03,51291.17790040001
2025-03-04,51291.17790040001
2025-03-05,51291.17790040001
2025-03-06,51291.17790040001
2025-03-07,51291.17790040001
2025-03-10,51291.17790040001
2025-03-11,51291.17790040001
2025-03-12,51291.17790040001
2025-03-13,51291.17790040001
2025-03-14,51291.17790040001
2025-03-17,51291.17790040001
2025-03-18,51291.17790040001
2025-03-19,51291.17790040001
2025-03-20,51291.17790040001
2025-03-21,51291.17790040001
2025-03-24,51291.17790040001
2025-03-25,51291.17790040001
2025-03-26,51291.17790040001
2025-03-27,51291.17790040001
2025-03-28,51291.17790040001
2025-03-31,51291.17790040001
2025-04-01,51291.17790040001
2025-04-02,51291.17790040001
2025-04-03,51291.17790040001
2025-04-04,51291.17790040001
2025-04-07,51291.17790040001
2025-04-08,51291.17790040001
2025-04-09,51291.17790040001
2025-04-10,51291.17790040001
2025-04-11,51291.17790040001
2025-04-14,51291.17790040001
2025-04-15,51291.17790040001
2025-04-16,51291.17790040001
2025-04-17,51291.17790040001
2025-04-21,51291.17790040001
2025-04-22,51291.17790040001
2025-04-23,51291.17790040001
2025-04-24,51291.17790040001
2025-04-25,51291.17790040001
2025-04-28,51291.17790040001
2025-04-29,51291.17790040001
2025-04-30,51291.17790040001
2025-05-01,51229.43854360001
