,above_sma50,above_sma200,ret20,dd60,overlap,strong_share,breadth,raw_label,label,method
2025-01-02,1.0,1.0,-0.011253021174577937,-0.050385692803276094,0.6,0.17525773195876287,0.12371134020618557,Range,Rotation,hierarchy
2025-01-03,1.0,1.0,-0.007343539979674074,-0.034843604099556336,0.5,0.17525773195876287,0.14432989690721648,Range,Rotation,hierarchy
2025-01-06,1.0,1.0,0.006853421102503532,-0.023752826601365795,0.4,0.16494845360824742,0.29896907216494845,Rotation,Rotation,hierarchy
2025-01-07,1.0,1.0,-0.01988339064135136,-0.04117181611247156,0.3,0.15463917525773196,0.20618556701030927,Rotation,Rotation,hierarchy
2025-01-08,1.0,1.0,-0.01201903109842195,-0.04100493881790879,0.4,0.16494845360824742,0.21649484536082475,Rotation,Rotation,hierarchy
2025-01-10,0.0,1.0,-0.024186154696025364,-0.05604264558637684,0.3,0.1958762886597938,0.20618556701030927,Defense,Defense,hierarchy
2025-01-13,0.0,1.0,-0.04442912609896954,-0.05907643730101286,0.3,0.15463917525773196,0.12371134020618557,Defense,Defense,hierarchy
2025-01-14,0.0,1.0,-0.03913661784491773,-0.05997082459883829,0.3,0.16494845360824742,0.18556701030927836,Defense,Defense,hierarchy
2025-01-15,1.0,1.0,-0.02449620070184788,-0.03834427723381206,0.3,0.16494845360824742,0.27835051546391754,Rotation,Defense,hierarchy
2025-01-16,0.0,1.0,-0.045081244867116954,-0.045081244867116954,0.1,0.17525773195876287,0.27835051546391754,Defense,Defense,hierarchy
2025-01-17,1.0,1.0,-0.024669571997333106,-0.028963523248444645,0.2,0.15463917525773196,0.3917525773195876,Rotation,Defense,hierarchy
2025-01-21,1.0,1.0,0.017767895870048678,-0.023269069949711785,0.3,0.18556701030927836,0.6907216494845361,Rotation,Defense,hierarchy
2025-01-22,1.0,1.0,0.035394530774695676,-0.010779523218444331,0.0,0.1958762886597938,0.7628865979381443,Rotation,Defense,hierarchy
2025-01-23,1.0,1.0,0.028611340254323103,-0.008677619317265739,0.1,0.18556701030927836,0.711340206185567,Rotation,Defense,hierarchy
2025-01-24,1.0,1.0,0.012928684145117275,-0.014278321326918308,0.1,0.18556701030927836,0.6597938144329897,Rotation,Rotation,hierarchy
2025-01-27,0.0,1.0,-0.02971838536379512,-0.04297746594015672,0.1,0.1958762886597938,0.5773195876288659,Defense,Defense,hierarchy
2025-01-28,1.0,1.0,-0.014708539970058054,-0.02883227144373246,0.1,0.1958762886597938,0.5670103092783505,Rotation,Defense,hierarchy
