,raw_label
2025-01-02,Range
2025-01-03,Range
2025-01-06,Rotation
2025-01-07,Rotation
2025-01-08,Rotation
2025-01-10,Defense
2025-01-13,Defense
2025-01-14,Defense
2025-01-15,Rotation
2025-01-16,Defense
2025-01-17,Rotation
2025-01-21,Rotation
2025-01-22,Rotation
2025-01-23,Rotation
2025-01-24,Rotation
2025-01-27,Defense
2025-01-28,Rotation
2025-01-29,Rotation
2025-01-30,Rotation
2025-01-31,Rotation
2025-02-03,Defense
2025-02-04,Rotation
2025-02-05,Rotation
2025-02-06,Range
2025-02-07,Range
2025-02-10,Rotation
2025-02-11,Rotation
2025-02-12,Rotation
2025-02-13,Rotation
2025-02-14,Rotation
2025-02-18,Rotation
2025-02-19,Rotation
2025-02-20,Rotation
2025-02-21,Rotation
2025-02-24,Defense
2025-02-25,Defense
2025-02-26,Defense
2025-02-27,Defense
2025-02-28,Defense
2025-03-03,Defense
2025-03-04,Defense
2025-03-05,Defense
2025-03-06,Defense
2025-03-07,Defense
2025-03-10,Defense
2025-03-11,Defense
2025-03-12,Defense
2025-03-13,Defense
2025-03-14,Defense
2025-03-17,Defense
2025-03-18,Defense
2025-03-19,Defense
2025-03-20,Defense
2025-03-21,Defense
2025-03-24,Defense
2025-03-25,PanicRebound
2025-03-26,Defense
2025-03-27,Defense
2025-03-28,Defense
2025-03-31,Defense
2025-04-01,Defense
2025-04-02,Defense
2025-04-03,Defense
2025-04-04,Defense
2025-04-07,Defense
2025-04-08,Defense
2025-04-09,Defense
2025-04-10,Defense
2025-04-11,PanicRebound
2025-04-14,PanicRebound
2025-04-15,PanicRebound
2025-04-16,Defense
2025-04-17,Defense
2025-04-21,Defense
2025-04-22,Defense
2025-04-23,Defense
2025-04-24,PanicRebound
2025-04-25,PanicRebound
2025-04-28,PanicRebound
2025-04-29,PanicRebound
2025-04-30,PanicRebound
2025-05-01,Defense
2025-05-02,Defense
2025-05-05,Defense
2025-05-06,Defense
2025-05-07,Defense
2025-05-08,Defense
2025-05-09,Defense
2025-05-12,PanicRebound
2025-05-13,PanicRebound
2025-05-14,PanicRebound
2025-05-15,PanicRebound
2025-05-16,PanicRebound
2025-05-19,Rotation
2025-05-20,Rotation
2025-05-21,Rotation
2025-05-22,Rotation
2025-05-23,Rotation
2025-05-27,Rotation
2025-05-28,Rotation
2025-05-29,Rotation
2025-05-30,Rotation
2025-06-02,Rotation
2025-06-03,Rotation
2025-06-04,Rotation
2025-06-05,Rotation
2025-06-06,Rotation
2025-06-09,Rotation
2025-06-10,Rotation
2025-06-11,Rotation
2025-06-12,Rotation
2025-06-13,Rotation
2025-06-16,Rotation
2025-06-17,Range
2025-06-18,Rotation
2025-06-20,Rotation
2025-06-23,Rotation
2025-06-24,Rotation
2025-06-25,Rotation
2025-06-26,Rotation
2025-06-27,Rotation
2025-06-30,Rotation
2025-07-01,Rotation
2025-07-02,Rotation
2025-07-03,Rotation
2025-07-07,CrowdedTrend
2025-07-08,Rotation
2025-07-09,Rotation
2025-07-10,Rotation
2025-07-11,CrowdedTrend
2025-07-14,Rotation
2025-07-15,Rotation
2025-07-16,Rotation
2025-07-17,Rotation
2025-07-18,Rotation
2025-07-21,Rotation
2025-07-22,Rotation
2025-07-23,Rotation
2025-07-24,Rotation
2025-07-25,Rotation
2025-07-28,Rotation
2025-07-29,Rotation
2025-07-30,Rotation
2025-07-31,Range
2025-08-01,Rotation
2025-08-04,Range
2025-08-05,Range
2025-08-06,Range
