scheme_id,scheme,note,n_runs,mean_ret,std_ret,p10_ret,p50_ret,p90_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_beat_bench,pct_positive,pct_runs_pos,mean_months,pct_universe_qqq,mean_exposure,mean_trades
14,S14_vol_very_strict,vol_very_strict,100,0.12843143757581718,0.14649848507729304,-0.020226188260933958,0.08009074395513133,0.3231276776151999,0.4956806365624765,-0.1266218885178471,-0.10091891018687082,0.29388505747126437,0.5121264367816092,0.84,3.56,0.53,0.46198232986681265,2.29332183908046
12,S12_vol_mid_strict,vol_mid_strict,100,0.121098822734962,0.12410978183318477,-0.007425935434567422,0.08391780741769406,0.3116741910030596,0.5912617595506072,-0.10721420502209794,-0.15464245900696694,0.3089540229885057,0.5359425287356322,0.83,3.54,0.49,0.3891369644750122,2.586563218390805
10,S10_vol_lb30,vol_lb30,100,0.11181385491403434,0.10414583001755681,-0.007197172335693469,0.10404405707307454,0.26336237642865284,0.5907564110261875,-0.11058109538059158,-0.15048170012328946,0.2874712643678161,0.5338850574712644,0.87,3.47,0.38,0.39271672140120417,2.45583908045977
13,S13_vol_strict,vol_strict,100,0.10347828113132711,0.1195473049142172,-0.01218388233539604,0.07056993926947602,0.3082982332790453,0.3933255682715405,-0.11958460298860313,-0.09940459618184912,0.29898850574712643,0.5099425287356322,0.81,3.66,0.56,0.41317660381834254,2.474977011494253
22,S22_aggro_combo,aggro_combo,100,0.09567849322725387,0.10915801557394816,-0.016372860561127318,0.07143752673330961,0.2673622968424709,0.4451765673562638,-0.12870351874736005,-0.13590776957606257,0.2587241379310345,0.5321609195402298,0.84,3.86,0.48,0.39008460832608904,4.2538850574712646
6,S06_slow_ma,slow_ma,100,0.09305836683735048,0.10222083436472516,-0.0099083763126636,0.07622573298653684,0.24682143229806883,0.5432121539659645,-0.09561897103625597,-0.1262642667822809,0.34340229885057466,0.49151724137931035,0.79,3.33,0.44,0.34633384022274577,2.277367816091954
28,S28_rs0_trend_only_entry,rs0_trend_only_entry,100,0.09158266813069449,0.10501445338840458,-0.008912296328245663,0.05156793623820716,0.24593022115715735,0.4592824468460467,-0.11139566533016979,-0.13929780463832142,0.26648275862068965,0.5113448275862069,0.83,3.55,0.47,0.3783644499178982,3.2497816091954026
3,S03_ma_8_30,ma_8_30,100,0.08956308818005981,0.09937948160519501,-0.009221864906405579,0.06039889522452937,0.24135527779810034,0.41101772576423656,-0.1034976360637748,-0.21362306087571958,0.24387356321839082,0.48558620689655174,0.82,3.64,0.46,0.30854534756431307,3.078609195402299
29,S29_ma_10_50_vol14,ma_10_50_vol14,100,0.08836356178017626,0.1087326233148845,-0.0056735722979947625,0.05261484051251822,0.2656981565236406,0.3937771204089346,-0.10363578824808783,-0.09661275317560657,0.31645977011494253,0.45764367816091955,0.86,3.58,0.62,0.36881070987272574,2.1615862068965517
19,S19_rs3,rs3,100,0.0813546868844767,0.08552307445958127,-0.009544253989674848,0.05818109415539398,0.18373632972631895,0.6028174059166436,-0.09870295840213815,-0.1164487518916078,0.2793103448275862,0.489551724137931,0.84,3.3,0.47,0.3594445960170098,2.7821724137931034
4,S04_ma_10_30,ma_10_30,100,0.08133570127149388,0.0887650220968523,-0.012264454352418597,0.0650726228446083,0.20136025619987455,0.3903262886519719,-0.10665406610325666,-0.16897270817220952,0.24606896551724136,0.49641379310344824,0.76,3.9,0.52,0.3190251153009774,3.1495862068965517
24,S24_balanced_a,balanced_a,100,0.08017173021431148,0.07929518233392008,-0.013058001550107622,0.07125881206574133,0.1946393990050425,0.46067540218222125,-0.11004987225126843,-0.18502560302093177,0.2549080459770115,0.5069310344827587,0.83,3.66,0.42,0.33354520256580145,3.2045287356321843
18,S18_rs2,rs2,100,0.07980279647191636,0.10287863910682994,-0.016348096430511366,0.03524410346780309,0.2357955441278887,0.3804320689843128,-0.10304071694336661,-0.12296916481215286,0.2940919540229885,0.48989655172413793,0.77,3.44,0.54,0.3483122656429722,2.947344827586207
20,S20_rs8,rs8,100,0.07786818372347426,0.09290855392966763,-0.014358077271856916,0.051095722843182784,0.2105009015742463,0.4159891774194382,-0.09057699544158165,-0.14184673704185835,0.27841379310344827,0.4453103448275862,0.78,3.65,0.49,0.27997853956257357,2.30464367816092
1,S01_baseline,baseline,100,0.07741840034646899,0.08993056837621599,-0.012989045271390715,0.04330846799154006,0.19322775938481337,0.36193116211638865,-0.09803034447934786,-0.1430343085275662,0.3024712643678161,0.47870114942528735,0.82,3.36,0.54,0.32487093613602236,2.6052183908045974
23,S23_conservative_combo,conservative_combo,100,0.07739222667791569,0.0863382656490612,-0.010256255608460586,0.046450673237386386,0.20514221745259628,0.3639505145686033,-0.07615560736298738,-0.1525680069603761,0.30926436781609196,0.41264367816091957,0.78,3.51,0.43,0.2346661649334063,1.953367816091954
7,S07_very_slow_ma,very_slow_ma,100,0.07611370678270761,0.09749124415241579,-0.013257117797693375,0.03850456052020035,0.22150801878096227,0.3973891645849086,-0.09173758251320605,-0.13699375698901162,0.32262068965517243,0.4296666666666667,0.76,3.74,0.56,0.2801628078817734,2.2027241379310345
5,S05_ma_12_40,ma_12_40,100,0.07290088015318445,0.09756289243552588,-0.019343733637878398,0.033044427380834324,0.22325383100200977,0.4119939332354203,-0.09324003297676839,-0.1169255722721119,0.3018735632183908,0.46164367816091956,0.8,3.38,0.56,0.32878841188334085,2.524264367816092
17,S17_rs_win30,rs_win30,100,0.07222998914734725,0.09423727515117648,-0.014380969216069512,0.03518086674693033,0.23150655781505433,0.28215846635312114,-0.09696645785393859,-0.12136673199956237,0.28206896551724137,0.43582758620689654,0.79,3.63,0.59,0.3169532709152067,2.8366781609195404
27,S27_fast_risk_filter,fast_risk_filter,100,0.07209624394235199,0.08643823069566291,-0.019220043865729206,0.05616541097695055,0.19732957404476653,0.26693912883989757,-0.11444693253054615,-0.1702810398255686,0.2903103448275862,0.4695632183908046,0.76,3.68,0.5,0.3467513453173163,3.0820459770114947
