scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_positive,pct_beat_bench,mean_trades,mean_exposure
D01_baseline,1,baseline_dip10_w25,0,SOXX,4,84,2025-01-15,2025-05-15,29,-0.04268271797372991,-0.05137020620192955,-0.03998092236297923,-0.838404748849149,-0.12808772684311934,-0.00868748822819964,0.13793103448275862,0.5517241379310345,4.0344827586206895,0.18780788177339905
D01_baseline,1,baseline_dip10_w25,1,SOXX,4,84,2025-11-26,2026-03-30,29,0.0653592129111733,0.15058990942209266,0.08498997312186996,0.7967477691448144,-0.11384467018205034,0.08523069651091936,0.7241379310344828,0.5517241379310345,4.620689655172414,0.43678160919540227
D01_baseline,1,baseline_dip10_w25,2,SOXX,12,252,2024-06-12,2025-06-13,30,-0.11229341109132818,-0.10759732730174004,-0.1754087946735705,-0.49136668687715707,-0.2644492734022833,0.004696083789588135,0.23333333333333334,0.3333333333333333,13.066666666666666,0.304265873015873
D01_baseline,1,baseline_dip10_w25,3,QQQ,1,21,2026-01-13,2026-02-11,30,-0.02096638715391519,0.0002416398380511775,0.0,-0.6005768199894794,-0.06031968938725034,0.021208026991966368,0.36666666666666664,0.6333333333333333,1.9,0.4408730158730158
D01_baseline,1,baseline_dip10_w25,4,QQQ,8,168,2025-02-28,2025-10-28,30,0.2501946769916814,0.06901457655919004,-0.00020478335530171865,0.13949717343563126,-0.14366115062336213,-0.1811801004324914,0.5,0.23333333333333334,6.466666666666667,0.36602182539682543
D01_baseline,1,baseline_dip10_w25,5,SOXX,3,63,2025-03-10,2025-06-06,29,0.11931802402050695,0.010175123105547556,0.0,-0.025569641638422638,-0.05224875749274399,-0.1091429009149594,0.41379310344827586,0.06896551724137931,2.2413793103448274,0.1490147783251231
D01_baseline,1,baseline_dip10_w25,6,SOXX,12,252,2024-10-18,2025-10-21,30,0.2792904450054976,0.10003255547516737,0.07055740504987928,0.26295951112945726,-0.19805254006082648,-0.17925788953033023,0.5666666666666667,0.2,11.1,0.37023809523809526
D01_baseline,1,baseline_dip10_w25,7,SOXX,5,105,2024-08-02,2024-12-31,30,0.0461545872289324,-0.009409089667516775,-0.03565139144348356,-0.500889342785271,-0.11484868712839374,-0.05556367689644917,0.3333333333333333,0.2,5.033333333333333,0.24595238095238098
D01_baseline,1,baseline_dip10_w25,8,SOXX,11,231,2024-01-29,2024-12-26,30,0.11728604186347558,-0.0023799778625589758,-0.03667494566768981,-0.06644209904891114,-0.239065516741813,-0.11966601972603455,0.4,0.16666666666666666,11.566666666666666,0.3611111111111111
D01_baseline,1,baseline_dip10_w25,9,QQQ,7,147,2025-12-22,2026-07-24,30,0.10761391047221691,0.07338428702786332,0.04227867061905455,0.1779210428301369,-0.13559029575384765,-0.034229623444353596,0.5666666666666667,0.36666666666666664,7.166666666666667,0.3568027210884354
D01_baseline,1,baseline_dip10_w25,10,SOXX,11,231,2025-04-30,2026-03-31,30,0.7991727370086741,0.33795716584524527,0.2897727731890526,1.0258353187291853,-0.18408158881390468,-0.4612155711634288,0.9,0.06666666666666667,9.933333333333334,0.43322510822510824
