scheme_id,scheme,note,fast,slow,vol_lb,vol_mult,rs_win,rs_thr,dip_thr,dip_weight,dd_lookback,dip_stop
1,D01_baseline,baseline_dip10_w25,10,40,20,1.35,20,0.05,0.10,0.25,60,0.12
2,D02_shallow06,shallow_dip06,10,40,20,1.35,20,0.05,0.06,0.25,60,0.12
3,D03_dip08,dip08,10,40,20,1.35,20,0.05,0.08,0.25,60,0.12
4,D04_dip12,dip12,10,40,20,1.35,20,0.05,0.12,0.25,60,0.12
5,D05_deep15,deep_dip15,10,40,20,1.35,20,0.05,0.15,0.25,60,0.12
6,D06_very_deep20,very_deep20,10,40,20,1.35,20,0.05,0.20,0.25,60,0.15
7,D07_light_w20,light_probe_w20,10,40,20,1.35,20,0.05,0.10,0.20,60,0.12
8,D08_third_w33,third_probe_w33,10,40,20,1.35,20,0.05,0.10,0.33,60,0.12
9,D09_lb40,dd_lookback40,10,40,20,1.35,20,0.05,0.10,0.25,40,0.12
10,D10_lb90,dd_lookback90,10,40,20,1.35,20,0.05,0.10,0.25,90,0.12
11,D11_tight_stop08,tight_stop08,10,40,20,1.35,20,0.05,0.10,0.25,60,0.08
12,D12_loose_stop20,loose_stop20,10,40,20,1.35,20,0.05,0.10,0.25,60,0.20
13,D13_dip08_w20,dip08_w20,10,40,20,1.35,20,0.05,0.08,0.20,60,0.10
14,D14_dip12_w33,dip12_w33,10,40,20,1.35,20,0.05,0.12,0.33,60,0.15
15,D15_dip15_lb90,dip15_lb90,10,40,20,1.35,20,0.05,0.15,0.25,90,0.15
16,D16_s12_vol175,s12_like_s14_vol175,10,40,20,1.75,20,0.05,0.10,0.25,60,0.12
17,D17_rs3,rs_thr03,10,40,20,1.35,20,0.03,0.10,0.25,60,0.12
18,D18_rs8,rs_thr08,10,40,20,1.35,20,0.08,0.10,0.25,60,0.12
19,D19_fast_ma,ma5_20_dip10,5,20,20,1.35,20,0.05,0.10,0.25,60,0.12
20,D20_conserv,dip12_w20_stop08,10,40,20,1.35,20,0.05,0.12,0.20,60,0.08
