scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,s12_mean_ret,dip_mean_ret,dip_minus_s12,s12_mean_mdd,dip_mean_mdd,s12_mean_exposure,dip_mean_exposure,dip_beat_s12,s12_vs_bench,dip_vs_bench,s12_positive,dip_positive
D01_baseline,1,baseline_dip10_w25,0,SOXX,4,84,2025-01-15,2025-05-15,29,-0.04268264905560459,-0.025716990511332718,-0.05137021612942704,-0.025653225618094324,-0.09008269398142583,-0.12808772268368687,0.10139573070607558,0.18780788177339905,0,0.016965658544271876,-0.008687567073822448,0,0
D01_baseline,1,baseline_dip10_w25,1,SOXX,4,84,2025-11-26,2026-03-30,29,0.06535932477276907,0.13060434817914052,0.15058991204287675,0.019985563863736233,-0.09666914509833963,-0.11384466897619858,0.3259441707717569,0.43678160919540227,1,0.06524502340637145,0.08523058727010768,1,1
D01_baseline,1,baseline_dip10_w25,2,SOXX,12,252,2024-06-12,2025-06-13,30,-0.11229341109132818,-0.08609364403663103,-0.10759729787447518,-0.021503653837844153,-0.23588366404305075,-0.26444925331373986,0.21468253968253967,0.304265873015873,0,0.02619976705469715,0.004696113216852996,0,0
D01_baseline,1,baseline_dip10_w25,3,QQQ,1,21,2026-01-13,2026-02-11,30,-0.02096638715391519,-0.014627542256874316,-0.021458211720641548,-0.006830669463767232,-0.05458277455918684,-0.0654618880392233,0.4031746031746032,0.45753968253968247,0,0.006338844897040874,-0.0004918245667263586,0,0
D01_baseline,1,baseline_dip10_w25,4,QQQ,8,168,2025-02-28,2025-10-28,30,0.2501946013536971,0.07269972065454076,0.10543103389347734,0.03273131323893658,-0.13812305774620287,-0.14482229418219486,0.2779761904761905,0.3873511904761905,1,-0.1774948806991563,-0.14476356746021973,1,1
D01_baseline,1,baseline_dip10_w25,5,SOXX,3,63,2025-03-10,2025-06-06,29,0.11931811258500846,0.023024491089483737,0.010175115113223455,-0.012849375976260282,-0.027145179397823276,-0.052248761395157724,0.08866995073891625,0.1490147783251231,0,-0.09629362149552473,-0.109142997471785,1,1
D01_baseline,1,baseline_dip10_w25,6,SOXX,12,252,2024-10-18,2025-10-21,30,0.27929057935732526,0.08040498987955062,0.10003256573835691,0.019627575858806284,-0.18728003050003003,-0.19805252993249717,0.2891534391534391,0.37023809523809526,1,-0.19888558947777463,-0.17925801361896837,1,1
D01_baseline,1,baseline_dip10_w25,7,SOXX,5,105,2024-08-02,2024-12-31,30,0.04615473659290337,-0.007383155687375146,-0.009409091118809616,-0.00202593543143447,-0.09986809917066228,-0.11484867690872465,0.15714285714285714,0.24595238095238098,0,-0.05353789228027851,-0.05556382771171298,0,0
D01_baseline,1,baseline_dip10_w25,8,SOXX,11,231,2024-01-29,2024-12-26,30,0.11728595595420654,-0.014050142007062175,-0.002380065944712998,0.011670076062349178,-0.22765483794891364,-0.23906553317822465,0.2554112554112554,0.3611111111111111,1,-0.13133609796126872,-0.11966602189891955,0,0
D01_baseline,1,baseline_dip10_w25,9,QQQ,7,147,2025-12-22,2026-07-24,30,0.10761391047221691,0.011967165923700219,0.05125526980242914,0.03928810387872893,-0.11138535137425892,-0.12538220596058322,0.2068027210884354,0.2977891156462585,1,-0.0956467445485167,-0.05635864066978777,1,1
D01_baseline,1,baseline_dip10_w25,10,SOXX,11,231,2025-04-30,2026-03-31,30,0.7991728873661996,0.24120132927579618,0.33795715123927217,0.09675582196347599,-0.18151182396438895,-0.184081591792696,0.32958152958152964,0.43322510822510824,1,-0.5579715580904034,-0.46121573612692746,1,1
D01_baseline,1,baseline_dip10_w25,11,SOXX,7,147,2023-12-07,2024-07-10,30,0.5448438251272811,0.15643696946934116,0.2042479508696955,0.047810981400354335,-0.13145231080705216,-0.13781957390140293,0.34852607709750566,0.459750566893424,1,-0.38840685565794,-0.34059587425758564,1,1
D01_baseline,1,baseline_dip10_w25,12,QQQ,11,231,2024-03-27,2025-02-27,30,0.12982124242441295,0.006866921906544258,0.02032142118947771,0.013454499282933453,-0.13945240282328086,-0.14094110033481122,0.29913419913419914,0.3870851370851371,1,-0.1229543205178687,-0.10949982123493524,1,1
D01_baseline,1,baseline_dip10_w25,13,QQQ,10,210,2024-09-30,2025-08-01,30,0.1396406940506143,0.13642248264481188,0.15384653828455422,0.017424055639742336,-0.13907255241929703,-0.15088785839289492,0.29253968253968254,0.3885714285714285,1,-0.003218211405802418,0.014205844233939918,1,1
D01_baseline,1,baseline_dip10_w25,14,QQQ,9,189,2025-02-11,2025-11-10,30,0.1848421423831519,0.04006495843578965,0.05226148569036739,0.01219652725457774,-0.14697553389521303,-0.1505041317827903,0.3174603174603175,0.4125661375661375,1,-0.14477718394736222,-0.1325806566927845,1,1
D01_baseline,1,baseline_dip10_w25,15,SOXX,2,42,2023-11-10,2024-01-11,29,0.1337866151876319,0.0774943989489612,0.08501763457531868,0.007523235626357483,-0.05469737112963862,-0.06144124212624824,0.4778325123152709,0.5428981937602627,1,-0.056292216238670714,-0.04876898061231323,1,1
D01_baseline,1,baseline_dip10_w25,16,QQQ,8,168,2025-04-17,2025-12-16,30,0.38065075650801794,0.05822628509197105,0.06825276642406436,0.010026481332093308,-0.09045853742073709,-0.10541638071494694,0.22182539682539681,0.32668650793650783,1,-0.3224244714160469,-0.3123979900839536,1,1
D01_baseline,1,baseline_dip10_w25,17,QQQ,3,63,2023-10-12,2024-01-11,29,0.10935443004554912,0.009703347775665807,0.026985654797575913,0.017282307021910106,-0.07684055243996374,-0.0804213453436331,0.3787629994526547,0.4796113847837986,1,-0.09965108226988331,-0.0823687752479732,1,1
D01_baseline,1,baseline_dip10_w25,18,SOXX,7,147,2025-06-02,2025-12-30,29,0.4742072430583639,0.08455874395636237,0.14953854043722564,0.06497979648086327,-0.17907138410292056,-0.17430931822955742,0.4133239502697632,0.5069200093830635,1,-0.38964849910200156,-0.3246687026211383,1,1
D01_baseline,1,baseline_dip10_w25,19,QQQ,2,42,2026-01-20,2026-03-19,30,-0.024734412068352585,-0.003904880697059835,-0.011999565028523125,-0.00809468433146329,-0.04664148075686558,-0.06002207373665834,0.2563492063492063,0.3208333333333334,0,0.02082953137129275,0.01273484703982946,0,0
D01_baseline,1,baseline_dip10_w25,20,QQQ,2,42,2025-12-30,2026-03-02,30,-0.01830706738570409,0.020542259241984707,0.02811790580226558,0.007575646560280872,-0.05202848290647793,-0.06234374774512004,0.3150793650793651,0.40297619047619043,1,0.03884932662768879,0.04642497318796967,1,1
D01_baseline,1,baseline_dip10_w25,21,QQQ,8,168,2024-02-14,2024-10-14,30,0.15334197720866793,0.01763376201115824,0.03578713690678715,0.01815337489562891,-0.1322396468346643,-0.13469305471068158,0.32797619047619037,0.4333829365079366,1,-0.1357082151975097,-0.11755484030188079,1,1
D01_baseline,1,baseline_dip10_w25,22,QQQ,4,84,2025-10-15,2026-02-13,30,0.000789757805571778,0.041634413714619276,0.051019994739877256,0.00938558102525798,-0.08767623706279756,-0.0947940614258181,0.3873015873015873,0.4780753968253968,1,0.0408446559090475,0.05023023693430548,1,1
D01_baseline,1,baseline_dip10_w25,23,QQQ,3,63,2026-01-08,2026-04-09,30,-0.0153279984002892,-0.00015153970303823558,0.012309606014292814,0.01246114571733105,-0.07822959166317958,-0.09012366206591205,0.2523809523809524,0.344047619047619,1,0.015176458697250964,0.027637604414582014,0,1
D01_baseline,1,baseline_dip10_w25,24,SOXX,5,105,2026-02-10,2026-07-13,30,0.5770256813269112,0.13659686114321096,0.1827214191671501,0.04612455802393914,-0.06750382261710434,-0.10255623447221703,0.12349206349206351,0.283015873015873,1,-0.4404288201837003,-0.3943042621597611,1,1
D01_baseline,1,baseline_dip10_w25,25,QQQ,5,105,2026-01-14,2026-06-15,30,0.20238584863226716,0.04480905436171883,0.06225023845759794,0.01744118409587911,-0.0814089650586057,-0.09813531105007807,0.1892063492063492,0.2865079365079365,1,-0.15757679427054833,-0.14013561017466922,1,1
D01_baseline,1,baseline_dip10_w25,26,QQQ,12,252,2025-01-16,2026-01-16,30,0.21698527291142944,0.0058803715805283464,0.021913098025425952,0.016032726444897605,-0.15853139701677746,-0.1658009533689974,0.27777777777777773,0.37404100529100526,1,-0.2111049013309011,-0.19507217488600348,1,1
D01_baseline,1,baseline_dip10_w25,27,SOXX,4,84,2026-03-20,2026-07-21,30,0.6629647609934404,0.09246450214498574,0.16770139055162095,0.07523688840663521,-0.045970691350039505,-0.0968134507557206,0.09761904761904759,0.28065476190476185,1,-0.5705002588484547,-0.49526337044181945,1,1
