datetime,SMH_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,51439.26492713041,50000.0,50000.0
2025-01-06,53136.149663388955,51629.406089552765,50407.35152238819
2025-01-07,51895.408074979096,50423.84731786883,50113.09564483768
2025-01-08,51525.14674712298,50064.08522414844,49929.311857854475
2025-01-10,50488.390604097935,49056.72762930639,49426.98897229633
2025-01-13,49988.05832186627,48570.58290970038,49182.0819956582
2025-01-14,50157.36395135845,48735.08766124285,49265.369921130274
2025-01-15,51330.381583191396,49874.842875870985,49841.44831723878
2025-01-16,51573.65691647754,50111.219825525186,50067.69870697846
2025-01-17,52790.79562955949,51293.845011638776,51249.29679434846
2025-01-21,53633.90754795123,52113.04941183227,52067.789723299815
2025-01-22,54607.72432378193,53059.252365841625,53013.170909029075
2025-01-23,54554.66553069453,53007.69812278329,52961.66144034125
2025-01-24,53469.51607819695,51953.3194727349,51908.19850813773
2025-01-27,48103.954147259945,46739.90492188985,46699.311758321885
2025-01-28,49045.92345999126,46721.2089599211,46680.63203361856
2025-01-29,48863.016066629505,46721.2089599211,46680.63203361856
2025-01-30,50007.846724854964,46721.2089599211,46680.63203361856
2025-01-31,49693.8018849303,46721.2089599211,46680.63203361856
2025-02-03,48725.118124206216,46721.2089599211,46680.63203361856
2025-02-04,49273.96765566888,46721.2089599211,46680.63203361856
2025-02-05,50428.22695296389,46721.2089599211,46680.63203361856
2025-02-06,50675.086761153245,46721.2089599211,46680.63203361856
2025-02-07,49996.039126078715,46721.2089599211,46680.63203361856
2025-02-10,50934.49203925554,46721.2089599211,46680.63203361856
2025-02-11,50988.93567443574,46721.2089599211,46680.63203361856
2025-02-12,50721.14496496817,46721.2089599211,46680.63203361856
2025-02-13,51418.7730866836,46721.2089599211,46680.63203361856
2025-02-14,51553.447771123494,46721.2089599211,46680.63203361856
2025-02-18,52293.82633569486,46721.2089599211,46680.63203361856
2025-02-19,52522.67676048123,46721.2089599211,46680.63203361856
2025-02-20,52616.71463420772,46721.2089599211,46680.63203361856
