strategy,month,pnl_usd
SMH_buy_hold,2025-01,-306.1981150697029
SMH_buy_hold,2025-02,-2148.4195587236973
SMH_buy_hold,2025-03,-4370.67892014471
SMH_buy_hold,2025-04,37.40236978491157
SMH_buy_hold,2025-05,5870.2740857014
SMH_buy_hold,2025-06,7992.6589162973105
SMH_buy_hold,2025-07,2018.5843447317748
SMH_buy_hold,2025-08,302.1663059885759
SMH_buy_hold,2025-09,7409.142562959467
SMH_buy_hold,2025-10,7556.369289776019
SMH_buy_hold,2025-11,-2075.4851773881237
SMH_buy_hold,2025-12,1874.1135212563386
SMH_buy_hold,2026-01,8891.250717357005
SMH_buy_hold,2026-02,614.1416045677906
SMH_buy_hold,2026-03,-4681.062630248925
SMH_buy_hold,2026-04,25480.090839473836
SMH_buy_hold,2026-05,18880.824837748558
SMH_buy_hold,2026-06,11325.119301826999
SMH_buy_hold,2026-07,-23468.401121209215
SMH_buy_hold,2026-08,6358.0894988551445
S12_full,2025-01,-3278.791040078897
S12_full,2025-02,-1865.3046098116683
S12_full,2025-03,0.0
S12_full,2025-04,0.0
S12_full,2025-05,2947.1281452109833
S12_full,2025-06,7784.32779701244
S12_full,2025-07,1965.969321331817
S12_full,2025-08,294.2902480463745
S12_full,2025-09,7216.020977358588
S12_full,2025-10,7359.410194141536
S12_full,2025-11,-6966.54552379463
S12_full,2025-12,-566.4259839904407
S12_full,2026-01,7779.861294986753
S12_full,2026-02,537.3750725182908
S12_full,2026-03,-1608.6987998458935
S12_full,2026-04,8069.04201015037
S12_full,2026-05,11907.9226825207
S12_full,2026-06,-7499.210479917208
S12_full,2026-07,0.0
S12_full,2026-08,0.0
L1+L4,2025-01,-3319.36796638144
L1+L4,2025-02,-453.8619742097071
L1+L4,2025-03,0.0
L1+L4,2025-04,0.0
L1+L4,2025-05,-27.659534693426394
L1+L4,2025-06,7523.142392483096
L1+L4,2025-07,1900.005694686799
L1+L4,2025-08,284.41600848586677
L1+L4,2025-09,6973.903814873884
L1+L4,2025-10,4627.509514179197
L1+L4,2025-11,-4175.782916327524
L1+L4,2025-12,-442.27279050828656
L1+L4,2026-01,7540.069780510363
L1+L4,2026-02,210.30408334244567
L1+L4,2026-03,-3230.476054215789
L1+L4,2026-04,3396.0412371710845
L1+L4,2026-05,8090.508819070412
L1+L4,2026-06,-1323.513469671656
L1+L4,2026-07,0.0
L1+L4,2026-08,0.0
