,equity
2021-06-01,50000.0
2021-06-02,50000.0
2021-06-03,50000.0
2021-06-04,50000.0
2021-06-07,50000.0
2021-06-08,50000.0
2021-06-09,50000.0
2021-06-10,50000.0
2021-06-11,50000.0
2021-06-14,50000.0
2021-06-15,50000.0
2021-06-16,50000.0
2021-06-17,50000.0
2021-06-18,50000.0
2021-06-21,50000.0
2021-06-22,50000.0
2021-06-23,50000.0
2021-06-24,50000.0
2021-06-25,50000.0
2021-06-28,50000.0
2021-06-29,50000.0
2021-06-30,50000.0
2021-07-01,50000.0
2021-07-02,50000.0
2021-07-06,50000.0
2021-07-07,50000.0
2021-07-08,50000.0
2021-07-09,50000.0
2021-07-12,50000.0
2021-07-13,50000.0
2021-07-14,50000.0
2021-07-15,50000.0
2021-07-16,50000.0
2021-07-19,50000.0
2021-07-20,50000.0
2021-07-21,50000.0
2021-07-22,50000.0
2021-07-23,50000.0
2021-07-26,50000.0
2021-07-27,50000.0
2021-07-28,50000.0
2021-07-29,50000.0
2021-07-30,50000.0
2021-08-02,50000.0
2021-08-03,50000.0
2021-08-04,50000.0
2021-08-05,50000.0
2021-08-06,50000.0
2021-08-09,50000.0
2021-08-10,50000.0
2021-08-11,50000.0
2021-08-12,50000.0
2021-08-13,50270.49509149235
2021-08-16,50054.50330072086
2021-08-17,49108.343586975745
2021-08-18,48612.638599150625
2021-08-19,48687.64177297875
2021-08-20,49073.630115263906
2021-08-23,49503.75322317406
2021-08-24,49460.78417758422
2021-08-25,49998.21920566039
2021-08-26,50075.005735201405
2021-08-27,50979.48119906859
2021-08-30,51140.51675204711
2021-08-31,51167.22418898759
2021-09-01,51194.3613044661
2021-09-02,51351.57858962235
2021-09-03,51339.12335890946
2021-09-07,51155.91736525712
2021-09-08,51093.72244948564
2021-09-09,50875.462348167275
2021-09-10,51027.40540996579
2021-09-13,51409.4179526904
2021-09-14,51443.12580791501
2021-09-15,51622.89121929196
2021-09-16,51697.79887310055
2021-09-17,50787.704451713835
2021-09-20,49551.78117290524
2021-09-21,49656.65071025876
2021-09-22,50551.75535503415
2021-09-23,51186.57386699704
2021-09-24,51048.00236431149
2021-09-27,50866.358077202116
2021-09-28,48819.590956840795
2021-09-29,48831.804303711375
2021-09-30,48831.804303711375
2021-10-01,48831.804303711375
2021-10-04,48831.804303711375
2021-10-05,48831.804303711375
2021-10-06,48831.804303711375
2021-10-07,48831.804303711375
2021-10-08,48831.804303711375
2021-10-11,48831.804303711375
2021-10-12,48831.804303711375
2021-10-13,48831.804303711375
2021-10-14,48831.804303711375
2021-10-15,47989.78071034132
2021-10-18,48216.50878346144
2021-10-19,48672.84211170851
2021-10-20,49981.561411024915
2021-10-21,50796.640359999525
2021-10-22,50494.41922834517
2021-10-25,51807.42998188521
2021-10-26,52247.29619056882
2021-10-27,52016.23039467038
2021-10-28,53893.76830889945
2021-10-29,53814.290466018814
2021-11-01,54464.40164265813
2021-11-02,55063.6639565009
2021-11-03,55607.907425739184
2021-11-04,57906.71006856145
2021-11-05,58358.60864339055
2021-11-08,59407.80435261907
2021-11-09,59486.3991707343
2021-11-10,57611.99495015325
2021-11-11,59256.29365542221
2021-11-12,59345.09230044174
2021-11-15,59931.173294094086
2021-11-16,60398.85383608627
2021-11-17,59811.29365542221
2021-11-18,59549.33302309799
2021-11-19,59681.05293276596
2021-11-22,58742.73347475815
2021-11-23,58609.53211977768
2021-11-24,58574.01356509018
2021-11-26,57261.60867718972
2021-11-29,59559.13440350808
2021-11-30,58312.87854413308
2021-12-01,58106.45779828347
2021-12-02,57449.54195739387
2021-12-03,56381.439757853914
2021-12-06,56166.64552262442
2021-12-07,58884.23348954337
2021-12-08,58630.22607377188
2021-12-09,57214.462829142976
2021-12-10,57576.80436661856
2021-12-13,56086.33340409415
2021-12-14,55360.82035519307
2021-12-15,56222.94602657979
2021-12-16,53702.2308075864
2021-12-17,52996.25321216957
2021-12-20,52434.92215748207
2021-12-21,52833.45982080729
2021-12-22,53373.17031851452
2021-12-23,53766.55357585634
2021-12-27,54502.164700973044
2021-12-28,53763.47355055172
2021-12-29,53720.56701383545
2021-12-30,53572.76485929443
2021-12-31,53438.39596281006
2022-01-03,54399.654073181155
2022-01-04,52306.25052398681
2022-01-05,49736.02158874512
2022-01-06,50414.926327745
2022-01-07,50216.49438194422
2022-01-10,50154.28283409266
2022-01-11,50609.086056748914
2022-01-12,50774.314713817876
2022-01-13,51772.59369534047
2022-01-14,51772.59369534047
2022-01-18,51772.59369534047
2022-01-19,51772.59369534047
2022-01-20,51772.59369534047
2022-01-21,51772.59369534047
2022-01-24,51772.59369534047
2022-01-25,51772.59369534047
2022-01-26,51772.59369534047
2022-01-27,51772.59369534047
2022-01-28,51772.59369534047
2022-01-31,51772.59369534047
2022-02-01,51772.59369534047
2022-02-02,51772.59369534047
2022-02-03,51772.59369534047
2022-02-04,51772.59369534047
2022-02-07,51772.59369534047
2022-02-08,51772.59369534047
2022-02-09,51772.59369534047
2022-02-10,51772.59369534047
2022-02-11,51772.59369534047
2022-02-14,51772.59369534047
2022-02-15,51772.59369534047
2022-02-16,51772.59369534047
2022-02-17,51772.59369534047
2022-02-18,51772.59369534047
2022-02-22,51772.59369534047
2022-02-23,51772.59369534047
2022-02-24,51772.59369534047
2022-02-25,51772.59369534047
2022-02-28,51772.59369534047
2022-03-01,51772.59369534047
2022-03-02,51772.59369534047
2022-03-03,51772.59369534047
2022-03-04,51772.59369534047
2022-03-07,51772.59369534047
2022-03-08,51772.59369534047
2022-03-09,51772.59369534047
2022-03-10,51772.59369534047
2022-03-11,51772.59369534047
2022-03-14,51772.59369534047
2022-03-15,51772.59369534047
2022-03-16,51772.59369534047
2022-03-17,51772.59369534047
2022-03-18,51772.59369534047
2022-03-21,51760.566076852134
2022-03-22,52364.245031930266
2022-03-23,51692.07300434237
2022-03-24,52468.72821674471
2022-03-25,52724.134893990806
2022-03-28,53097.947088815024
2022-03-29,53752.709631539634
2022-03-30,52322.48347263156
2022-03-31,51458.40909519464
2022-04-01,51603.377356913385
2022-04-04,52042.830481913385
2022-04-05,49938.435783507884
2022-04-06,48818.66484649007
2022-04-07,49062.874898980306
2022-04-08,48932.62953765218
2022-04-11,48102.283773492025
2022-04-12,47925.36177642171
2022-04-13,48470.23955352132
2022-04-14,47871.09404570882
2022-04-18,47890.62804229086
2022-04-19,48658.023519585775
2022-04-20,48622.20183379476
2022-04-21,47900.39504058187
2022-04-22,46595.716390679525
2022-04-25,46863.8157559139
2022-04-26,45516.815786431485
2022-04-27,45643.814840386556
2022-04-28,46787.838125298666
2022-04-29,45071.797933648275
2022-05-02,45340.97823149984
2022-05-03,45382.65765158543
2022-05-04,45382.65765158543
2022-05-05,45382.65765158543
2022-05-06,45382.65765158543
2022-05-09,45382.65765158543
2022-05-10,45382.65765158543
2022-05-11,45382.65765158543
2022-05-12,45382.65765158543
2022-05-13,45382.65765158543
2022-05-16,45382.65765158543
2022-05-17,45382.65765158543
2022-05-18,45382.65765158543
2022-05-19,45382.65765158543
2022-05-20,45382.65765158543
2022-05-23,45382.65765158543
2022-05-24,45382.65765158543
2022-05-25,45382.65765158543
2022-05-26,45382.65765158543
2022-05-27,45382.65765158543
2022-05-31,45382.65765158543
2022-06-01,45382.65765158543
2022-06-02,45382.65765158543
2022-06-03,45382.65765158543
2022-06-06,45382.65765158543
2022-06-07,45382.65765158543
2022-06-08,45382.65765158543
2022-06-09,45382.65765158543
2022-06-10,45382.65765158543
2022-06-13,45382.65765158543
2022-06-14,45382.65765158543
2022-06-15,45382.65765158543
2022-06-16,45382.65765158543
2022-06-17,45382.65765158543
2022-06-21,45382.65765158543
2022-06-22,45382.65765158543
2022-06-23,45382.65765158543
2022-06-24,45382.65765158543
2022-06-27,45382.65765158543
2022-06-28,45382.65765158543
2022-06-29,45382.65765158543
2022-06-30,45382.65765158543
2022-07-01,45382.65765158543
2022-07-05,45382.65765158543
2022-07-06,45382.65765158543
2022-07-07,45382.65765158543
2022-07-08,45382.65765158543
2022-07-11,45382.65765158543
2022-07-12,45382.65765158543
2022-07-13,45382.65765158543
2022-07-14,45382.65765158543
2022-07-15,45382.65765158543
2022-07-18,45382.65765158543
2022-07-19,45382.65765158543
2022-07-20,45382.65765158543
2022-07-21,45928.79224503057
2022-07-22,44891.755311131645
2022-07-25,44615.20883286016
2022-07-26,43943.60257828252
2022-07-27,45995.95132553595
2022-07-28,46556.938988804985
2022-07-29,46944.097878575485
2022-08-01,47038.91160690801
2022-08-02,46942.120339512985
2022-08-03,48062.12739670294
2022-08-04,48550.023362279106
2022-08-05,48220.151307225395
2022-08-08,47388.54669296758
2022-08-09,45409.28037369269
2022-08-10,47244.34701645391
2022-08-11,47234.47168076056
2022-08-12,48565.82822525519
2022-08-15,48785.08786880986
2022-08-16,48235.95308029669
2022-08-17,47608.46086651271
2022-08-18,47745.98799663966
2022-08-19,47108.279439510756
2022-08-22,46133.40321880763
2022-08-23,46022.5088706631
2022-08-24,46168.89812237209
2022-08-25,46816.58995586818
2022-08-26,45241.72096783107
2022-08-29,44944.4864097256
2022-08-30,44454.28468853419
2022-08-31,44118.23103863185
2022-09-01,44255.75459820216
2022-09-02,43792.15709454005
2022-09-06,43628.02931744044
2022-09-07,44406.592763485365
2022-09-08,44694.95091778224
2022-09-09,45384.78960186428
2022-09-12,45869.44267803615
2022-09-13,43887.54808575099
2022-09-14,44053.90031963771
2022-09-15,43557.050221981466
2022-09-16,43226.97011333888
2022-09-19,43559.942372860365
2022-09-20,43063.267232479506
2022-09-21,42317.1458640713
2022-09-22,41964.12492901271
2022-09-23,41265.877584042006
2022-09-26,40860.51585918849
2022-09-27,40756.9554343838
2022-09-28,41553.18956524318
2022-09-29,40691.25362163966
2022-09-30,40066.52046734279
2022-10-03,41116.653310360365
2022-10-04,42381.73366314357
2022-10-05,41856.87569455456
2022-10-06,41856.87569455456
2022-10-07,41856.87569455456
2022-10-10,41856.87569455456
2022-10-11,41856.87569455456
2022-10-12,41856.87569455456
2022-10-13,41856.87569455456
2022-10-14,41856.87569455456
2022-10-17,41856.87569455456
2022-10-18,41856.87569455456
2022-10-19,41856.87569455456
2022-10-20,41856.87569455456
2022-10-21,41856.87569455456
2022-10-24,41856.87569455456
2022-10-25,41856.87569455456
2022-10-26,41856.87569455456
2022-10-27,41856.87569455456
2022-10-28,41856.87569455456
2022-10-31,41817.33883467624
2022-11-01,41635.572568807096
2022-11-02,40597.67474165866
2022-11-03,40217.67423480855
2022-11-04,40217.67423480855
2022-11-07,40217.67423480855
2022-11-08,40321.44531162503
2022-11-09,39227.03262241604
2022-11-10,41490.96434032824
2022-11-11,42688.28819257257
2022-11-14,42284.62632733819
2022-11-15,43615.37086469171
2022-11-16,42047.06318646905
2022-11-17,42363.810012640926
2022-11-18,42441.0721891546
2022-11-21,41699.40303021905
2022-11-22,42910.40071088312
2022-11-23,43283.16737348077
2022-11-25,42775.20323163507
2022-11-28,41767.006301703426
2022-11-29,41653.05116254327
2022-11-30,44026.75804120538
2022-12-01,43885.76280194757
2022-12-02,43283.16737348077
2022-12-05,42767.47792035577
2022-12-06,41830.7423856878
2022-12-07,41055.83181862823
2022-12-08,41686.57966141692
2022-12-09,41469.07883172027
2022-12-12,42181.406842550685
2022-12-13,43088.96391042178
2022-12-14,42433.69047292178
2022-12-15,41175.85917787105
2022-12-16,41020.457885580174
2022-12-19,41001.360773823435
2022-12-20,41001.360773823435
2022-12-21,41001.360773823435
2022-12-22,40739.54467360322
2022-12-23,40611.56089946267
2022-12-27,40611.56089946267
2022-12-28,40611.56089946267
2022-12-29,40611.56089946267
2022-12-30,40611.56089946267
2023-01-03,40611.56089946267
2023-01-04,40611.56089946267
2023-01-05,40611.56089946267
2023-01-06,40611.56089946267
2023-01-09,40611.56089946267
2023-01-10,40611.56089946267
2023-01-11,41115.708878513055
2023-01-12,40942.739599524335
2023-01-13,40792.8242586426
