,equity
2023-01-03,50000.0
2023-01-04,50000.0
2023-01-05,50000.0
2023-01-06,50000.0
2023-01-09,50000.0
2023-01-10,50000.0
2023-01-11,50000.0
2023-01-12,50000.0
2023-01-13,50000.0
2023-01-17,50000.0
2023-01-18,50000.0
2023-01-19,50000.0
2023-01-20,50000.0
2023-01-23,50000.0
2023-01-24,50000.0
2023-01-25,50000.0
2023-01-26,50000.0
2023-01-27,50000.0
2023-01-30,50000.0
2023-01-31,50000.0
2023-02-01,50000.0
2023-02-02,50000.0
2023-02-03,50000.0
2023-02-06,50000.0
2023-02-07,50000.0
2023-02-08,50000.0
2023-02-09,50000.0
2023-02-10,50000.0
2023-02-13,50000.0
2023-02-14,50000.0
2023-02-15,50000.0
2023-02-16,50000.0
2023-02-17,50000.0
2023-02-21,50000.0
2023-02-22,50000.0
2023-02-23,50000.0
2023-02-24,50000.0
2023-02-27,50000.0
2023-02-28,50000.0
2023-03-01,50000.0
2023-03-02,50000.0
2023-03-03,50000.0
2023-03-06,50000.0
2023-03-07,50000.0
2023-03-08,50000.0
2023-03-09,50000.0
2023-03-10,50000.0
2023-03-13,50000.0
2023-03-14,50000.0
2023-03-15,50000.0
2023-03-16,50000.0
2023-03-17,49761.2648172
2023-03-20,49936.7268172
2023-03-21,50648.7008172
2023-03-22,49961.1288172
2023-03-23,50552.5868172
2023-03-24,50738.3408172
2023-03-27,50391.2348172
2023-03-28,50123.974817199996
2023-03-29,51036.4768172
2023-03-30,51518.70681719999
2023-03-31,52374.104817199994
2023-04-03,52246.94881719999
2023-04-04,52070.98881719999
2023-04-05,51557.716817199995
2023-04-06,51904.822817199994
2023-04-10,51875.4408172
2023-04-11,51543.1088172
2023-04-12,51088.6008172
2023-04-13,52087.256817199996
2023-04-14,51989.4828172
2023-04-17,52033.472817199996
2023-04-18,52036.7928172
2023-04-19,52012.3908172
2023-04-20,51616.48081719999
2023-04-21,51670.2648172
2023-04-24,51562.6968172
2023-04-25,50591.5968172
2023-04-26,50897.8668172
2023-04-27,52279.650817199996
2023-04-28,52639.7048172
2023-05-01,52579.28081719999
2023-05-02,52121.4528172
2023-05-03,51780.9868172
2023-05-04,51598.552817200005
2023-05-05,52122.19816679999
2023-05-08,51472.2981668
2023-05-09,51416.01816679999
2023-05-10,51131.93816679999
2023-05-11,50863.93816679999
2023-05-12,50713.85816679999
2023-05-15,50648.19816679999
2023-05-16,50086.738166799994
2023-05-17,51429.4711828
2023-05-18,52327.430650999995
2023-05-19,52209.562651
2023-05-22,52384.784650999994
2023-05-23,51721.02665099999
2023-05-24,51455.74465099999
2023-05-25,50702.020249599984
2023-05-26,51963.966198799986
2023-05-30,52198.01619879999
2023-05-31,51903.1131988
2023-06-01,52498.95919879999
2023-06-02,52890.20019879999
2023-06-05,52927.19519879999
2023-06-06,52918.286198799986
2023-06-07,52026.17819879999
2023-06-08,52667.92819879999
2023-06-09,52868.00319879999
2023-06-12,53755.7321988
2023-06-13,54166.30119879999
2023-06-14,54557.54219879999
2023-06-15,55203.671198799995
2023-06-16,54858.33419879999
2023-06-20,54777.70019879999
2023-06-21,54035.686198799995
2023-06-22,54669.43319879999
2023-06-23,54130.66519879999
2023-06-26,53409.489198799994
2023-06-27,54322.133198799995
2023-06-28,54427.53119879999
2023-06-29,54319.1131988
2023-06-30,55151.727198799985
2023-07-03,55280.83219879999
2023-07-05,55279.32219879999
2023-07-06,54860.90119879999
2023-07-07,55115.83949729999
2023-07-10,56654.65949729999
2023-07-11,57671.32649729998
2023-07-12,57737.80949729998
2023-07-13,57430.04549729999
2023-07-14,57426.565274099994
2023-07-17,58147.021854199986
2023-07-18,58732.352387599996
2023-07-19,58718.80038759999
2023-07-20,57373.302387599986
2023-07-21,57064.788560400004
2023-07-24,57576.6565604
2023-07-25,56027.2965604
2023-07-26,54925.368560400006
2023-07-27,55404.6565604
2023-07-28,55398.140560399996
2023-07-31,55910.7325604
2023-08-01,55747.198161600005
2023-08-02,53937.528398799994
2023-08-03,54736.728398800005
2023-08-04,55314.3283988
2023-08-07,54895.1283988
2023-08-08,53526.3283988
2023-08-09,52775.12839879999
2023-08-10,53033.6925588
2023-08-11,53051.5610093
2023-08-14,52916.279714799995
2023-08-15,52692.117837699996
2023-08-16,52696.16926759999
2023-08-17,52696.16926759999
2023-08-18,52696.16926759999
2023-08-21,52696.16926759999
2023-08-22,52696.16926759999
2023-08-23,52696.16926759999
2023-08-24,52696.16926759999
2023-08-25,52696.16926759999
2023-08-28,52696.16926759999
2023-08-29,52696.16926759999
2023-08-30,52696.16926759999
2023-08-31,52696.16926759999
2023-09-01,52291.37727359999
2023-09-05,51921.94523359998
2023-09-06,51553.48140359998
2023-09-07,51601.78140359998
2023-09-08,51488.52840359998
2023-09-11,53399.893335599976
2023-09-12,51482.05333559998
2023-09-13,51094.293335599985
2023-09-14,51597.46534459999
2023-09-15,49322.86534459999
2023-09-18,49144.15649959999
2023-09-19,49144.15649959999
2023-09-20,49144.15649959999
2023-09-21,49144.15649959999
2023-09-22,49144.15649959999
2023-09-25,49144.15649959999
2023-09-26,49144.15649959999
2023-09-27,49144.15649959999
2023-09-28,49144.15649959999
2023-09-29,49144.15649959999
2023-10-02,49144.15649959999
2023-10-03,49144.15649959999
2023-10-04,49144.15649959999
2023-10-05,49144.15649959999
2023-10-06,49144.15649959999
2023-10-09,49144.15649959999
2023-10-10,49144.15649959999
2023-10-11,49546.61259959998
2023-10-12,49815.92259959999
2023-10-13,49395.64083739999
2023-10-16,49559.111326999984
2023-10-17,49864.13557329998
2023-10-18,49212.837573299985
2023-10-19,49389.80730309998
2023-10-20,49389.80730309998
2023-10-23,49389.80730309998
2023-10-24,49389.80730309998
2023-10-25,49389.80730309998
2023-10-26,49389.80730309998
2023-10-27,49389.80730309998
2023-10-30,49389.80730309998
2023-10-31,49389.80730309998
2023-11-01,49389.80730309998
2023-11-02,49389.80730309998
2023-11-03,49389.80730309998
2023-11-06,49468.898939099985
2023-11-07,49936.19493909998
2023-11-08,49968.29093909998
2023-11-09,49584.09093909998
2023-11-10,50697.79493909998
2023-11-13,50539.898939099985
2023-11-14,51626.810939099974
2023-11-15,51665.706939099975
