,equity
2021-06-01,50000.0
2021-06-02,50000.0
2021-06-03,50000.0
2021-06-04,50000.0
2021-06-07,50000.0
2021-06-08,50000.0
2021-06-09,50000.0
2021-06-10,50000.0
2021-06-11,50000.0
2021-06-14,50000.0
2021-06-15,50000.0
2021-06-16,50000.0
2021-06-17,50000.0
2021-06-18,50000.0
2021-06-21,50000.0
2021-06-22,50000.0
2021-06-23,50000.0
2021-06-24,50000.0
2021-06-25,50000.0
2021-06-28,50000.0
2021-06-29,50000.0
2021-06-30,50000.0
2021-07-01,50000.0
2021-07-02,50000.0
2021-07-06,50000.0
2021-07-07,50000.0
2021-07-08,50000.0
2021-07-09,50000.0
2021-07-12,50000.0
2021-07-13,50000.0
2021-07-14,50000.0
2021-07-15,50000.0
2021-07-16,50000.0
2021-07-19,50000.0
2021-07-20,50000.0
2021-07-21,50000.0
2021-07-22,50000.0
2021-07-23,50000.0
2021-07-26,50000.0
2021-07-27,50000.0
2021-07-28,50000.0
2021-07-29,50000.0
2021-07-30,50000.0
2021-08-02,50000.0
2021-08-03,50000.0
2021-08-04,50000.0
2021-08-05,50000.0
2021-08-06,50000.0
2021-08-09,50000.0
2021-08-10,50000.0
2021-08-11,49643.07053341574
2021-08-12,49100.95337643332
2021-08-13,49420.95450558371
2021-08-16,49208.251929900114
2021-08-17,48276.50073971457
2021-08-18,47653.454536101286
2021-08-19,48071.325965544645
2021-08-20,48278.383430144255
2021-08-23,49665.650977751684
2021-08-24,49699.52756466574
2021-08-25,50239.74723019308
2021-08-26,50316.931617400114
2021-08-27,51226.09348263449
2021-08-30,51387.96341671652
2021-08-31,50998.32346310324
2021-09-01,50919.26230587668
2021-09-02,51043.50211300558
2021-09-03,51461.38242306418
2021-09-07,51355.9754406423
2021-09-08,50678.33713497824
2021-09-09,50887.2684093923
2021-09-10,51271.26621212668
2021-09-13,51655.258094450895
2021-09-14,51689.140601775114
2021-09-15,51869.83744015402
2021-09-16,51945.13321652121
2021-09-17,51030.32327999777
2021-09-20,49787.99625363058
2021-09-21,49893.409156462614
2021-09-22,50793.151649138395
2021-09-23,51431.25937618918
2021-09-24,51291.96988644308
2021-09-27,51109.38443722433
2021-09-28,49052.012305876684
2021-09-29,49064.28893433727
2021-09-30,49064.28893433727
2021-10-01,49064.28893433727
2021-10-04,49064.28893433727
2021-10-05,49064.28893433727
2021-10-06,49064.28893433727
2021-10-07,49064.28893433727
2021-10-08,49064.28893433727
2021-10-11,49064.28893433727
2021-10-12,49064.28893433727
2021-10-13,49064.28893433727
2021-10-14,49064.28893433727
2021-10-15,49064.28893433727
2021-10-18,49064.28893433727
2021-10-19,49538.18701683975
2021-10-20,49320.078236932524
2021-10-21,49881.97417199112
2021-10-22,49442.06497704483
2021-10-25,49691.60207116104
2021-10-26,49974.39876305557
2021-10-27,49552.97099816299
2021-10-28,50495.634389276274
2021-10-29,50639.80582177139
2021-11-01,51220.18900048233
2021-11-02,51783.93947350479
2021-11-03,52295.93147789932
2021-11-04,54458.50877892471
2021-11-05,54883.628178949126
2021-11-08,55870.64932763077
2021-11-09,55944.586675042876
2021-11-10,54181.258260125884
2021-11-11,55155.34415184952
2021-11-12,55715.391362542876
2021-11-15,55641.46564232803
2021-11-16,56362.316991204985
2021-11-17,56027.761830682524
2021-11-18,57404.78824364639
2021-11-19,57767.07426964737
2021-11-22,56896.49368798233
2021-11-23,56484.30954491592
2021-11-24,57053.60619103409
2021-11-26,55401.177983636626
2021-11-29,57622.89702355362
2021-11-30,56417.76128136612
2021-12-01,56218.1513723085
2021-12-02,56364.15990197159
2021-12-03,55724.63498436905
2021-12-06,55512.072377557524
2021-12-07,58201.42566430069
2021-12-08,57950.05728661514
2021-12-09,56549.00327050186
2021-12-10,56907.5802205751
2021-12-13,55432.594670648345
2021-12-14,55112.83511864639
2021-12-15,57390.00426232315
2021-12-16,54898.417973871
2021-12-17,54641.49760949112
2021-12-20,54231.38310753799
2021-12-21,56188.124135370024
2021-12-22,56855.24039208389
2021-12-23,57343.960561151274
2021-12-27,58886.30827843643
2021-12-28,58306.53552758194
2021-12-29,58297.25121056534
2021-12-30,57635.704381341704
2021-12-31,57442.44873558975
2022-01-03,58707.91800438858
2022-01-04,58403.163350457915
2022-01-05,56401.82620751358
2022-01-06,56961.1583455751
2022-01-07,55993.39998306454
2022-01-10,55517.697934598815
2022-01-11,55517.697934598815
2022-01-12,55501.695426322534
2022-01-13,54536.457145072534
2022-01-14,55692.20806059988
2022-01-18,53201.09203276785
2022-01-19,51731.45476470144
2022-01-20,50147.525809623316
2022-01-21,49312.9211953655
2022-01-24,49944.315360404566
2022-01-25,47966.66332183035
2022-01-26,49420.29640954931
2022-01-27,49420.29640954931
2022-01-28,49420.29640954931
2022-01-31,49420.29640954931
2022-02-01,49420.29640954931
2022-02-02,49420.29640954931
2022-02-03,49420.29640954931
2022-02-04,49420.29640954931
2022-02-07,49420.29640954931
2022-02-08,49420.29640954931
2022-02-09,49420.29640954931
2022-02-10,49420.29640954931
2022-02-11,49420.29640954931
2022-02-14,49420.29640954931
2022-02-15,49420.29640954931
2022-02-16,49420.29640954931
2022-02-17,49420.29640954931
2022-02-18,49420.29640954931
2022-02-22,49420.29640954931
2022-02-23,49420.29640954931
2022-02-24,49420.29640954931
2022-02-25,49420.29640954931
2022-02-28,49420.29640954931
2022-03-01,49420.29640954931
2022-03-02,49420.29640954931
2022-03-03,49420.29640954931
2022-03-04,49420.29640954931
2022-03-07,49420.29640954931
2022-03-08,49420.29640954931
2022-03-09,49420.29640954931
2022-03-10,49420.29640954931
2022-03-11,49420.29640954931
2022-03-14,49420.29640954931
2022-03-15,49420.29640954931
2022-03-16,49420.29640954931
2022-03-17,49420.29640954931
2022-03-18,49420.29640954931
2022-03-21,49420.29640954931
2022-03-22,49420.29640954931
2022-03-23,49420.29640954931
2022-03-24,49420.29640954931
2022-03-25,49263.33322391147
2022-03-28,49620.35858401889
2022-03-29,50739.608431431
2022-03-30,49270.470491977874
2022-03-31,48274.39157352084
2022-04-01,47494.30716189975
2022-04-04,48276.173098179046
2022-04-05,46198.32895145054
2022-04-06,45245.08760318393
2022-04-07,45252.224871250335
2022-04-08,44179.38402042026
2022-04-11,43188.65526065463
2022-04-12,42956.593523594085
2022-04-13,43974.09541568393
2022-04-14,42638.84826907748
2022-04-18,43367.16794070834
2022-04-19,43104.98109821765
2022-04-20,43104.98109821765
2022-04-21,43104.98109821765
2022-04-22,43104.98109821765
2022-04-25,43104.98109821765
2022-04-26,43104.98109821765
2022-04-27,43104.98109821765
2022-04-28,43104.98109821765
2022-04-29,43104.98109821765
2022-05-02,43104.98109821765
2022-05-03,43104.98109821765
2022-05-04,43104.98109821765
2022-05-05,43104.98109821765
2022-05-06,43104.98109821765
2022-05-09,43104.98109821765
2022-05-10,43104.98109821765
2022-05-11,43104.98109821765
2022-05-12,43104.98109821765
2022-05-13,43104.98109821765
2022-05-16,43104.98109821765
2022-05-17,43104.98109821765
2022-05-18,43104.98109821765
2022-05-19,43104.98109821765
2022-05-20,43104.98109821765
2022-05-23,43104.98109821765
2022-05-24,43104.98109821765
2022-05-25,43104.98109821765
2022-05-26,43104.98109821765
2022-05-27,43104.98109821765
2022-05-31,42992.61168372414
2022-06-01,42286.76482093117
2022-06-02,42225.56947838244
2022-06-03,41877.628373207066
2022-06-06,42552.86509093002
2022-06-07,42552.86509093002
2022-06-08,41842.10729665137
2022-06-09,41543.11593480605
2022-06-10,41543.11593480605
2022-06-13,41543.11593480605
2022-06-14,41543.11593480605
2022-06-15,41543.11593480605
2022-06-16,41543.11593480605
2022-06-17,41543.11593480605
2022-06-21,41543.11593480605
2022-06-22,41543.11593480605
2022-06-23,41543.11593480605
2022-06-24,41543.11593480605
2022-06-27,41543.11593480605
2022-06-28,41543.11593480605
2022-06-29,41543.11593480605
2022-06-30,41543.11593480605
2022-07-01,41543.11593480605
2022-07-05,41543.11593480605
2022-07-06,41543.11593480605
2022-07-07,41543.11593480605
2022-07-08,41543.11593480605
2022-07-11,41543.11593480605
2022-07-12,41543.11593480605
2022-07-13,41543.11593480605
2022-07-14,41543.11593480605
2022-07-15,41543.11593480605
2022-07-18,41543.11593480605
2022-07-19,41543.11593480605
2022-07-20,42642.79149973838
2022-07-21,43358.24281657188
2022-07-22,42377.538753156354
2022-07-25,42116.0145527169
2022-07-26,41480.89061320274
2022-07-27,43421.75374949425
2022-07-28,43952.26800883262
2022-07-29,44318.39604533164
2022-08-01,44408.059398297955
2022-08-02,44316.52592814414
2022-08-03,45375.69309580773
2022-08-04,45837.08607066124
2022-08-05,45525.132991437604
2022-08-08,44738.701961164166
2022-08-09,42866.95134318322
2022-08-10,44602.33535349815
2022-08-11,44592.99645579308
2022-08-12,45852.03239787072
2022-08-15,46059.381641034764
2022-08-16,45540.07639658898
2022-08-17,44563.10380137413
2022-08-18,45185.15445292441
2022-08-19,43913.04230082481
2022-08-22,42383.14033854454
2022-08-23,42657.737826947865
2022-08-24,42629.71821177452
2022-08-25,44060.60915720909
2022-08-26,41611.65271342247
2022-08-29,40840.16216624229
2022-08-30,40373.158839826276
2022-08-31,40098.56427348106
2022-09-01,39222.464046125104
2022-09-02,39702.50468133395
2022-09-06,39702.50468133395
2022-09-07,39702.50468133395
2022-09-08,39702.50468133395
2022-09-09,39702.50468133395
2022-09-12,39702.50468133395
2022-09-13,39702.50468133395
2022-09-14,39702.50468133395
2022-09-15,39702.50468133395
2022-09-16,39702.50468133395
2022-09-19,39702.50468133395
2022-09-20,39702.50468133395
2022-09-21,39702.50468133395
2022-09-22,39702.50468133395
2022-09-23,39702.50468133395
2022-09-26,39702.50468133395
2022-09-27,39702.50468133395
2022-09-28,39702.50468133395
2022-09-29,39702.50468133395
2022-09-30,39702.50468133395
2022-10-03,39702.50468133395
2022-10-04,39702.50468133395
2022-10-05,39702.50468133395
2022-10-06,39702.50468133395
2022-10-07,39702.50468133395
2022-10-10,39702.50468133395
2022-10-11,39702.50468133395
2022-10-12,39702.50468133395
2022-10-13,39702.50468133395
2022-10-14,39702.50468133395
2022-10-17,39702.50468133395
2022-10-18,39702.50468133395
2022-10-19,39702.50468133395
2022-10-20,39702.50468133395
2022-10-21,39702.50468133395
2022-10-24,39702.50468133395
2022-10-25,39702.50468133395
2022-10-26,39702.50468133395
2022-10-27,39702.50468133395
2022-10-28,39702.50468133395
2022-10-31,39702.50468133395
2022-11-01,39702.50468133395
2022-11-02,39702.50468133395
2022-11-03,39702.50468133395
2022-11-04,39702.50468133395
2022-11-07,39702.50468133395
2022-11-08,39805.02248427584
2022-11-09,38723.82733962251
2022-11-10,42677.56161544039
2022-11-11,44075.92897078707
2022-11-14,43659.01557967379
2022-11-15,45033.44617507174
2022-11-16,43413.65364882662
2022-11-17,43740.79872939303
2022-11-18,43820.59729048922
2022-11-21,43054.58040663912
2022-11-22,44305.333061668425
2022-11-23,44690.337013694785
2022-11-25,44165.697281333945
2022-11-28,43124.4029774399
2022-11-29,43006.70688674166
2022-11-30,45458.33848616793
2022-12-01,45312.71461531832
2022-12-02,44690.337013694785
2022-12-05,44157.718361351035
2022-12-06,43190.23140761568
2022-12-07,43180.255417320266
2022-12-08,44279.40235182955
2022-12-09,43924.32012984468
2022-12-12,44706.29797408297
2022-12-13,45908.2442822006
2022-12-14,44925.38112653229
2022-12-15,43637.48914058498
2022-12-16,43018.907627232715
2022-12-19,42998.88724544194
2022-12-20,42998.88724544194
2022-12-21,42998.88724544194
2022-12-22,42054.83760455467
2022-12-23,41742.097738148725
2022-12-27,41742.097738148725
2022-12-28,41742.097738148725
2022-12-29,41742.097738148725
2022-12-30,41742.097738148725
2023-01-03,41742.097738148725
2023-01-04,41742.097738148725
2023-01-05,41742.097738148725
2023-01-06,41742.097738148725
2023-01-09,41859.8897137644
2023-01-10,42403.24121522924
2023-01-11,42900.19165468237
2023-01-12,43542.1592450144
2023-01-13,43698.780399799565
