,equity
2021-06-01,50000.0
2021-06-02,50000.0
2021-06-03,50000.0
2021-06-04,50000.0
2021-06-07,50000.0
2021-06-08,50000.0
2021-06-09,50000.0
2021-06-10,50000.0
2021-06-11,50000.0
2021-06-14,50000.0
2021-06-15,50000.0
2021-06-16,50000.0
2021-06-17,50000.0
2021-06-18,50000.0
2021-06-21,50000.0
2021-06-22,50000.0
2021-06-23,50000.0
2021-06-24,50000.0
2021-06-25,50000.0
2021-06-28,50000.0
2021-06-29,50000.0
2021-06-30,50000.0
2021-07-01,50000.0
2021-07-02,50000.0
2021-07-06,50000.0
2021-07-07,50000.0
2021-07-08,50000.0
2021-07-09,50000.0
2021-07-12,50000.0
2021-07-13,50000.0
2021-07-14,50000.0
2021-07-15,50000.0
2021-07-16,50000.0
2021-07-19,50000.0
2021-07-20,50000.0
2021-07-21,50000.0
2021-07-22,50000.0
2021-07-23,50000.0
2021-07-26,50000.0
2021-07-27,50000.0
2021-07-28,50000.0
2021-07-29,50000.0
2021-07-30,50000.0
2021-08-02,50000.0
2021-08-03,50000.0
2021-08-04,50000.0
2021-08-05,50000.0
2021-08-06,50000.0
2021-08-09,50000.0
2021-08-10,50000.0
2021-08-11,50000.0
2021-08-12,50000.0
2021-08-13,50019.670657409515
2021-08-16,50137.429446472015
2021-08-17,49808.821048034515
2021-08-18,49263.738040222015
2021-08-19,49340.012454284515
2021-08-20,49732.54297186264
2021-08-23,50169.956301940765
2021-08-24,50249.58154608139
2021-08-25,50355.01367498764
2021-08-26,50057.800540222015
2021-08-27,50505.310305847015
2021-08-30,50727.373294128265
2021-08-31,50652.226809753265
2021-09-01,50679.13965155014
2021-09-02,50835.05762030014
2021-09-03,50822.705325378265
2021-09-07,50641.013430847015
2021-09-08,50579.3325226439
2021-09-09,50362.876223815765
2021-09-10,49965.837649597015
2021-09-13,50093.6928742064
2021-09-14,49823.3999054564
2021-09-15,50651.92459352943
2021-09-16,50398.34121626891
2021-09-17,49534.16942519226
2021-09-20,46858.54672164001
2021-09-21,47880.797348311375
2021-09-22,47880.797348311375
2021-09-23,47880.797348311375
2021-09-24,48840.01811784263
2021-09-27,48742.01811784263
2021-09-28,48664.73784440513
2021-09-29,48901.24482492271
2021-09-30,48901.24482492271
2021-10-01,48901.24482492271
2021-10-04,48901.24482492271
2021-10-05,48901.24482492271
2021-10-06,48901.24482492271
2021-10-07,48901.24482492271
2021-10-08,48901.24482492271
2021-10-11,48901.24482492271
2021-10-12,48901.24482492271
2021-10-13,48901.24482492271
2021-10-14,48901.24482492271
2021-10-15,49007.13265112423
2021-10-18,49151.94014624142
2021-10-19,49530.41915014767
2021-10-20,49724.593161378136
2021-10-21,49854.036551270714
2021-10-22,49802.477713380096
2021-10-25,50069.05547216916
2021-10-26,50114.02663305782
2021-10-27,49892.430746827355
2021-10-28,50372.938406739464
2021-10-29,50474.94920996212
2021-11-01,50561.61376074337
2021-11-02,50765.671072755096
2021-11-03,51075.02767065548
2021-11-04,51315.27257421993
2021-11-05,51492.99346045041
2021-11-08,51536.87203100704
2021-11-09,51366.83141211056
2021-11-10,50954.353567872284
2021-11-11,50970.806692872284
2021-11-12,51354.762930665245
2021-11-15,51372.31578711056
2021-11-16,51575.26622656368
2021-11-17,51450.20033911251
2021-11-18,51624.62560156368
2021-11-19,51532.487387452355
2021-11-22,51387.67632177853
2021-11-23,51455.69185522579
2021-11-24,51592.811941895714
2021-11-26,50444.242422852745
2021-11-29,51061.859457764855
2021-11-30,50070.155203614464
2021-12-01,49515.0586154797
2021-12-02,50272.00948217892
2021-12-03,49835.38753393673
2021-12-06,50424.49367407345
2021-12-07,51465.56087378048
2021-12-08,51601.59551123166
2021-12-09,51253.837576661346
2021-12-10,51735.42354467892
2021-12-13,51277.978110108605
2021-12-14,50925.82839087032
2021-12-15,51720.07015112423
2021-12-16,51264.80989721798
2021-12-17,50720.21074560666
2021-12-20,50181.88506201291
2021-12-21,51071.38570288204
2021-12-22,51581.09337500118
2021-12-23,51901.450857911346
2021-12-27,52634.628958497284
2021-12-28,52591.68944433712
2021-12-29,52658.85518530392
2021-12-30,52513.53710058712
2021-12-31,52381.426504883995
2022-01-03,52684.16329077267
2022-01-04,52666.553305421105
2022-01-05,51657.053396973846
2022-01-06,51608.6045139172
2022-01-07,51404.95067480587
2022-01-10,51341.101980958214
2022-01-11,51807.873709473846
2022-01-12,51947.67885473751
2022-01-13,51233.21761206173
2022-01-14,51254.13393286251
2022-01-18,50348.10518530392
2022-01-19,49826.300467286346
2022-01-20,49275.86702612423
2022-01-21,48310.38851049923
2022-01-24,48515.15279272579
2022-01-25,47923.98287085079
2022-01-26,47803.98717382931
2022-01-27,47568.39827612423
2022-01-28,48747.44249609493
2022-01-31,49623.73564795041
2022-02-01,49958.39678076291
2022-02-02,50442.78206518673
2022-02-03,49259.353201661346
2022-02-04,49490.536032471886
2022-02-07,49332.01045874142
2022-02-08,49737.122244630096
2022-02-09,50463.69838598751
2022-02-10,49558.79079321407
2022-02-11,48583.403982911346
2022-02-14,48424.87840918087
2022-02-15,49204.29878881954
2022-02-16,49259.353201661346
2022-02-17,48209.11681250118
2022-02-18,47897.55718115353
2022-02-22,47384.55745581173
2022-02-23,46545.69087866329
2022-02-24,47244.74873999142
2022-02-25,48285.0732639172
2022-02-28,48161.778372559784
2022-03-01,47429.68929174923
2022-03-02,48300.480215821495
2022-03-03,48060.49239233517
2022-03-04,47670.78398779416
2022-03-07,46268.27290991329
2022-03-08,45918.19054296993
2022-03-09,47146.765524659386
2022-03-10,46934.299551758995
2022-03-11,46338.727133546105
2022-03-14,46000.752524171105
2022-03-15,47010.25957373166
2022-03-16,48050.57695654416
2022-03-17,48650.55544165157
2022-03-18,49182.38985327267
2022-03-21,49168.032645020714
2022-03-22,49742.263846192596
2022-03-23,49102.88069799923
2022-03-24,49841.650290284386
2022-03-25,50084.59810522579
2022-03-28,50440.17555883907
2022-03-29,51062.998465333214
2022-03-30,50748.282461915245
2022-03-31,49968.651419434784
2022-04-01,50109.99547461056
2022-04-04,50538.46227148556
2022-04-05,49901.282156739464
2022-04-06,49403.25377539181
2022-04-07,49651.7109592297
2022-04-08,49519.20046118282
2022-04-11,48674.41390112423
2022-04-12,48494.41499975704
2022-04-13,49048.76891211056
2022-04-14,48439.20348242306
2022-04-18,48459.077200684784
2022-04-19,49239.81868628048
2022-04-20,49203.37401464962
2022-04-21,48469.014059815636
2022-04-22,47141.64534643673
2022-04-25,47414.407309327355
2022-04-26,46043.98125341916
2022-04-27,46173.18898657345
2022-04-28,47337.108328614464
2022-04-29,45591.22395971798
2022-05-02,45865.08565405392
2022-05-03,46074.902273926964
2022-05-04,47475.14961889767
2022-05-05,46960.70648040634
2022-05-06,46960.70648040634
2022-05-09,46960.70648040634
2022-05-10,46960.70648040634
2022-05-11,46960.70648040634
2022-05-12,46960.70648040634
2022-05-13,46960.70648040634
2022-05-16,46960.70648040634
2022-05-17,46960.70648040634
2022-05-18,46960.70648040634
2022-05-19,46960.70648040634
2022-05-20,46960.70648040634
2022-05-23,46960.70648040634
2022-05-24,46960.70648040634
2022-05-25,46960.70648040634
2022-05-26,46960.70648040634
2022-05-27,46960.70648040634
2022-05-31,46960.70648040634
2022-06-01,46960.70648040634
2022-06-02,46960.70648040634
2022-06-03,46960.70648040634
2022-06-06,46960.70648040634
2022-06-07,46960.70648040634
2022-06-08,46960.70648040634
2022-06-09,46960.70648040634
2022-06-10,46960.70648040634
2022-06-13,46960.70648040634
2022-06-14,46960.70648040634
2022-06-15,46960.70648040634
2022-06-16,46960.70648040634
2022-06-17,46960.70648040634
2022-06-21,46960.70648040634
2022-06-22,46960.70648040634
2022-06-23,46960.70648040634
2022-06-24,46960.70648040634
2022-06-27,46960.70648040634
2022-06-28,46960.70648040634
2022-06-29,46960.70648040634
2022-06-30,46960.70648040634
2022-07-01,46960.70648040634
2022-07-05,46960.70648040634
2022-07-06,46960.70648040634
2022-07-07,46960.70648040634
2022-07-08,46960.70648040634
2022-07-11,46960.70648040634
2022-07-12,46960.70648040634
2022-07-13,46960.70648040634
2022-07-14,46960.70648040634
2022-07-15,46960.70648040634
2022-07-18,46960.70648040634
2022-07-19,46960.70648040634
2022-07-20,46960.70648040634
2022-07-21,47492.93916731875
2022-07-22,47054.523639975
2022-07-25,47111.400776205475
2022-07-26,46556.86586409609
2022-07-27,47759.53691512148
2022-07-28,48355.54521590273
2022-07-29,49056.995563803124
2022-08-01,48912.445240316796
2022-08-02,48591.33546858829
2022-08-03,49348.48802596133
2022-08-04,49315.303974447655
2022-08-05,49232.3686411957
2022-08-08,49175.4953196625
2022-08-09,48981.17464095156
2022-08-10,50004.92113143008
2022-08-11,50004.92113143008
2022-08-12,50847.39320784609
2022-08-15,51055.93507796329
2022-08-16,51155.46052962344
2022-08-17,50794.063740072655
2022-08-18,50940.99443465273
2022-08-19,50259.68187361758
2022-08-22,49218.14744978945
2022-08-23,49099.67058211367
2022-08-24,49256.06935530704
2022-08-25,49948.047809896874
2022-08-26,48265.49547225039
2022-08-29,47947.93718367617
2022-08-30,47424.217396078515
2022-08-31,47065.18571883242
2022-09-01,47212.11259871523
2022-09-02,46716.81612044375
2022-09-06,46541.465931234765
2022-09-07,47373.26448470156
2022-09-08,47681.33943587344
2022-09-09,48418.346576986725
2022-09-12,48936.13832503359
2022-09-13,46818.72957259219
2022-09-14,46996.456318197655
2022-09-15,46465.63356429141
2022-09-16,46112.9838755707
2022-09-19,46468.72346907656
2022-09-20,45938.08763533633
2022-09-21,45140.949421225
2022-09-22,44763.790302572655
2022-09-23,44017.79954939883
2022-09-26,43584.72078352969
2022-09-27,43474.0793040375
2022-09-28,44324.756794271874
2022-09-29,43403.88505965273
2022-09-30,42736.43510848086
2022-10-03,43185.17816930866
2022-10-04,43185.17816930866
2022-10-05,43185.17816930866
2022-10-06,43185.17816930866
2022-10-07,43185.17816930866
2022-10-10,43185.17816930866
2022-10-11,43185.17816930866
2022-10-12,43185.17816930866
2022-10-13,43185.17816930866
2022-10-14,43185.17816930866
2022-10-17,43185.17816930866
2022-10-18,43185.17816930866
2022-10-19,43185.17816930866
2022-10-20,43185.17816930866
2022-10-21,43185.17816930866
2022-10-24,43185.17816930866
2022-10-25,43185.17816930866
2022-10-26,43185.17816930866
2022-10-27,43185.17816930866
2022-10-28,43185.17816930866
2022-10-31,43144.31221704527
2022-11-01,42956.11174707457
2022-11-02,41881.47417383238
2022-11-03,41488.092764084926
2022-11-04,41488.092764084926
2022-11-07,41488.092764084926
2022-11-08,41569.92741921893
2022-11-09,40715.98503640643
2022-11-10,42211.425582594835
2022-11-11,42507.7306780152
2022-11-14,42146.3420061402
2022-11-15,42505.58761160895
2022-11-16,42181.5265764527
2022-11-17,42052.5324358277
2022-11-18,42243.3507952027
2022-11-21,42089.83956473395
2022-11-22,42655.9064592652
2022-11-23,42924.5451311402
2022-11-25,42914.94405692146
2022-11-28,42230.56417410895
2022-11-29,42158.07589285895
2022-11-30,43485.2765764527
2022-12-01,43453.30147879646
2022-12-02,43403.1974748902
2022-12-05,42622.8615373902
2022-12-06,42008.82686942145
2022-12-07,41937.40499442145
2022-12-08,42265.7384905152
2022-12-09,41950.1916155152
2022-12-12,42554.6388811402
2022-12-13,42876.5705217652
2022-12-14,42602.60323660895
2022-12-15,41561.09347098395
2022-12-16,41070.72433035895
2022-12-19,40722.6623186402
2022-12-20,40778.3547014527
2022-12-21,41387.71358817146
2022-12-22,40797.6320452027
2022-12-23,41032.1593889527
2022-12-27,40870.4552873902
2022-12-28,40362.83565848395
2022-12-29,41088.92159598395
2022-12-30,40980.7531389527
2023-01-03,40808.34737723395
2023-01-04,41123.1935686402
2023-01-05,40654.1252092652
2023-01-06,41585.82589285895
2023-01-09,41562.26925223395
2023-01-10,41853.5656389527
2023-01-11,42382.5988420777
2023-01-12,42536.8175920777
2023-01-13,42701.73800223395
