,mode,bench_etf,best_etf,sticky,thrust,mild
2021-06-01,cash,,SPY,0.0,0.0,1.0
2021-06-02,cash,,SPY,0.0,0.0,1.0
2021-06-03,cash,,SPY,0.0,0.0,1.0
2021-06-04,cash,,SPY,0.0,0.0,1.0
2021-06-07,cash,,SPY,0.0,0.0,1.0
2021-06-08,cash,,SPY,0.0,0.0,1.0
2021-06-09,cash,,SPY,0.0,0.0,1.0
2021-06-10,cash,,SPY,0.0,0.0,1.0
2021-06-11,cash,,SPY,0.0,0.0,1.0
2021-06-14,cash,,SPY,0.0,0.0,1.0
2021-06-15,cash,,SPY,0.0,0.0,1.0
2021-06-16,cash,,SPY,0.0,0.0,1.0
2021-06-17,cash,,SPY,0.0,0.0,1.0
2021-06-18,cash,,SPY,0.0,0.0,1.0
2021-06-21,cash,,SPY,0.0,0.0,1.0
2021-06-22,cash,,SPY,0.0,0.0,1.0
2021-06-23,cash,,SPY,0.0,0.0,1.0
2021-06-24,cash,,SPY,0.0,0.0,1.0
2021-06-25,cash,,SPY,0.0,0.0,1.0
2021-06-28,cash,,SPY,0.0,0.0,1.0
2021-06-29,cash,,SMH,0.0,0.0,1.0
2021-06-30,cash,,SMH,0.0,0.0,1.0
2021-07-01,cash,,SMH,0.0,0.0,1.0
2021-07-02,cash,,SMH,0.0,0.0,1.0
2021-07-06,cash,,SMH,0.0,0.0,1.0
2021-07-07,cash,,SPY,0.0,0.0,1.0
2021-07-08,cash,,SPY,0.0,0.0,1.0
2021-07-09,cash,,SPY,0.0,0.0,1.0
2021-07-12,cash,,SMH,0.0,0.0,1.0
2021-07-13,cash,,SPY,0.0,0.0,1.0
2021-07-14,cash,,SPY,0.0,0.0,1.0
2021-07-15,cash,,SPY,0.0,0.0,1.0
2021-07-16,cash,,SPY,0.0,0.0,1.0
2021-07-19,cash,,SPY,0.0,0.0,1.0
2021-07-20,cash,,SPY,0.0,0.0,1.0
2021-07-21,cash,,SMH,0.0,0.0,1.0
2021-07-22,cash,,SPY,0.0,0.0,1.0
2021-07-23,cash,,SPY,0.0,0.0,1.0
2021-07-26,cash,,SPY,0.0,0.0,1.0
2021-07-27,cash,,SPY,0.0,0.0,1.0
2021-07-28,cash,,SPY,0.0,0.0,1.0
2021-07-29,cash,,SPY,0.0,0.0,1.0
2021-07-30,cash,,SPY,0.0,0.0,1.0
2021-08-02,cash,,SMH,0.0,0.0,1.0
2021-08-03,cash,,SMH,0.0,0.0,1.0
2021-08-04,cash,,SMH,0.0,0.0,1.0
2021-08-05,cash,,SMH,0.0,0.0,1.0
2021-08-06,cash,,SMH,0.0,0.0,1.0
2021-08-09,cash,,SMH,0.0,0.0,1.0
2021-08-10,ers,,SMH,0.0,0.0,0.0
2021-08-11,ers,,SPY,0.0,0.0,0.0
2021-08-12,bench,SMH,SMH,1.0,0.0,0.0
2021-08-13,bench,SMH,SMH,1.0,0.0,0.0
2021-08-16,bench,SMH,SMH,1.0,0.0,0.0
2021-08-17,bench,SPY,SPY,1.0,0.0,0.0
2021-08-18,bench,SPY,SPY,1.0,0.0,0.0
2021-08-19,bench,SPY,SPY,1.0,0.0,0.0
2021-08-20,bench,SPY,SPY,1.0,0.0,0.0
2021-08-23,bench,SMH,SMH,1.0,0.0,0.0
2021-08-24,bench,SMH,SMH,1.0,0.0,0.0
2021-08-25,bench,SMH,SMH,1.0,0.0,0.0
2021-08-26,bench,SMH,SMH,1.0,0.0,0.0
2021-08-27,bench,SMH,SMH,1.0,0.0,0.0
2021-08-30,bench,SPY,SPY,1.0,0.0,0.0
2021-08-31,bench,SPY,SPY,1.0,0.0,0.0
2021-09-01,bench,SPY,SPY,1.0,0.0,0.0
2021-09-02,bench,SPY,SPY,1.0,0.0,0.0
2021-09-03,bench,SPY,SPY,1.0,0.0,0.0
2021-09-07,bench,SPY,SPY,1.0,0.0,0.0
2021-09-08,bench,SPY,SPY,1.0,0.0,0.0
2021-09-09,bench,SMH,SMH,1.0,0.0,0.0
2021-09-10,bench,SMH,SMH,1.0,0.0,0.0
2021-09-13,bench,SMH,SMH,1.0,0.0,0.0
2021-09-14,bench,SMH,SMH,1.0,0.0,0.0
2021-09-15,bench,SMH,SMH,1.0,0.0,0.0
2021-09-16,bench,SMH,SMH,1.0,0.0,0.0
2021-09-17,bench,SMH,SMH,1.0,0.0,0.0
2021-09-20,bench,SMH,SMH,1.0,0.0,1.0
2021-09-21,bench,SMH,SMH,1.0,0.0,1.0
2021-09-22,bench,SMH,SMH,1.0,0.0,1.0
2021-09-23,bench,SMH,SMH,1.0,0.0,0.0
2021-09-24,bench,SMH,SMH,1.0,0.0,0.0
2021-09-27,bench,SMH,SMH,1.0,0.0,0.0
2021-09-28,cash,,SPY,0.0,0.0,1.0
2021-09-29,cash,,SPY,0.0,0.0,1.0
2021-09-30,cash,,SPY,0.0,0.0,1.0
2021-10-01,cash,,SPY,0.0,0.0,1.0
2021-10-04,cash,,SPY,0.0,0.0,1.0
2021-10-05,cash,,SPY,0.0,0.0,1.0
2021-10-06,cash,,SPY,0.0,0.0,1.0
2021-10-07,cash,,SPY,0.0,0.0,1.0
2021-10-08,cash,,SPY,0.0,0.0,1.0
2021-10-11,cash,,SPY,0.0,0.0,1.0
2021-10-12,cash,,SPY,0.0,0.0,1.0
2021-10-13,cash,,SPY,0.0,0.0,1.0
2021-10-14,strong,,SPY,0.0,0.0,0.0
2021-10-15,strong,,SPY,0.0,0.0,0.0
2021-10-18,strong,,SPY,0.0,0.0,0.0
2021-10-19,strong,,SPY,0.0,0.0,0.0
2021-10-20,strong,,SPY,0.0,0.0,0.0
2021-10-21,ers,,SPY,0.0,0.0,0.0
2021-10-22,strong,,SPY,0.0,0.0,0.0
2021-10-25,bench,SPY,SPY,0.0,1.0,0.0
2021-10-26,bench,SPY,SPY,0.0,1.0,0.0
2021-10-27,strong,,SPY,0.0,0.0,0.0
2021-10-28,bench,SPY,SPY,0.0,1.0,0.0
2021-10-29,bench,SMH,SMH,0.0,1.0,0.0
2021-11-01,bench,SMH,SMH,0.0,1.0,0.0
2021-11-02,bench,SMH,SMH,0.0,1.0,0.0
2021-11-03,bench,SMH,SMH,0.0,1.0,0.0
2021-11-04,bench,SMH,SMH,0.0,1.0,0.0
2021-11-05,bench,SMH,SMH,0.0,1.0,0.0
2021-11-08,bench,SMH,SMH,0.0,1.0,0.0
2021-11-09,bench,SMH,SMH,0.0,1.0,0.0
2021-11-10,ers,,SMH,0.0,0.0,0.0
2021-11-11,ers,,SMH,0.0,0.0,0.0
2021-11-12,ers,,SMH,0.0,0.0,0.0
2021-11-15,ers,,SMH,0.0,0.0,0.0
2021-11-16,ers,,SMH,0.0,0.0,0.0
2021-11-17,ers,,SMH,0.0,0.0,0.0
2021-11-18,ers,,SMH,0.0,0.0,0.0
2021-11-19,ers,,SMH,0.0,0.0,0.0
2021-11-22,ers,,SMH,0.0,0.0,0.0
2021-11-23,ers,,SMH,0.0,0.0,0.0
2021-11-24,bench,SMH,SMH,0.0,0.0,0.0
2021-11-26,bench,SMH,SMH,0.0,0.0,0.0
2021-11-29,bench,SMH,SMH,0.0,0.0,0.0
2021-11-30,bench,SMH,SMH,0.0,0.0,0.0
2021-12-01,cash,,SMH,0.0,0.0,1.0
2021-12-02,bench,SMH,SMH,0.0,0.0,0.0
2021-12-03,bench,SMH,SMH,0.0,0.0,0.0
2021-12-06,bench,SMH,SMH,0.0,0.0,0.0
2021-12-07,bench,SMH,SMH,0.0,0.0,0.0
2021-12-08,bench,SMH,SMH,0.0,1.0,0.0
2021-12-09,bench,SMH,SMH,0.0,0.0,0.0
2021-12-10,bench,SMH,SMH,0.0,0.0,0.0
2021-12-13,bench,SPY,SPY,0.0,0.0,0.0
2021-12-14,bench,SPY,SPY,0.0,0.0,0.0
2021-12-15,bench,SMH,SMH,0.0,0.0,0.0
2021-12-16,bench,SPY,SPY,0.0,0.0,0.0
2021-12-17,bench,SPY,SPY,0.0,0.0,0.0
2021-12-20,cash,,SPY,0.0,0.0,1.0
2021-12-21,bench,SPY,SPY,0.0,0.0,0.0
2021-12-22,bench,SMH,SMH,0.0,0.0,0.0
2021-12-23,bench,SPY,SPY,0.0,0.0,0.0
2021-12-27,bench,SMH,SMH,0.0,1.0,0.0
2021-12-28,bench,SPY,SPY,0.0,1.0,0.0
2021-12-29,bench,SPY,SPY,0.0,1.0,0.0
2021-12-30,bench,SPY,SPY,0.0,0.0,0.0
2021-12-31,ers,,SPY,0.0,0.0,0.0
2022-01-03,ers,,SPY,0.0,0.0,0.0
2022-01-04,ers,,SMH,0.0,0.0,0.0
2022-01-05,bench,SPY,SPY,0.0,0.0,0.0
2022-01-06,bench,SPY,SPY,0.0,0.0,0.0
2022-01-07,bench,SPY,SPY,0.0,0.0,0.0
2022-01-10,bench,SPY,SPY,0.0,0.0,0.0
2022-01-11,bench,SMH,SMH,0.0,0.0,0.0
2022-01-12,ers,,SMH,0.0,0.0,0.0
2022-01-13,cash,,SPY,0.0,0.0,1.0
2022-01-14,cash,,SMH,0.0,0.0,1.0
2022-01-18,cash,,SMH,0.0,0.0,1.0
2022-01-19,cash,,SPY,0.0,0.0,1.0
2022-01-20,cash,,SPY,0.0,0.0,1.0
2022-01-21,cash,,SPY,0.0,0.0,1.0
2022-01-24,cash,,SPY,0.0,0.0,1.0
2022-01-25,cash,,SPY,0.0,0.0,1.0
2022-01-26,cash,,SPY,0.0,0.0,1.0
2022-01-27,cash,,SPY,0.0,0.0,1.0
2022-01-28,cash,,SPY,0.0,0.0,1.0
2022-01-31,cash,,SPY,0.0,0.0,1.0
2022-02-01,cash,,SPY,0.0,0.0,1.0
2022-02-02,cash,,SPY,0.0,0.0,1.0
2022-02-03,cash,,SPY,0.0,0.0,1.0
2022-02-04,cash,,SPY,0.0,0.0,1.0
2022-02-07,cash,,SPY,0.0,0.0,1.0
