,mode
2021-06-01,cash
2021-06-02,cash
2021-06-03,cash
2021-06-04,cash
2021-06-07,cash
2021-06-08,cash
2021-06-09,cash
2021-06-10,cash
2021-06-11,cash
2021-06-14,cash
2021-06-15,cash
2021-06-16,cash
2021-06-17,cash
2021-06-18,cash
2021-06-21,cash
2021-06-22,cash
2021-06-23,cash
2021-06-24,cash
2021-06-25,cash
2021-06-28,cash
2021-06-29,cash
2021-06-30,cash
2021-07-01,cash
2021-07-02,cash
2021-07-06,cash
2021-07-07,cash
2021-07-08,cash
2021-07-09,cash
2021-07-12,cash
2021-07-13,cash
2021-07-14,cash
2021-07-15,cash
2021-07-16,cash
2021-07-19,cash
2021-07-20,cash
2021-07-21,cash
2021-07-22,cash
2021-07-23,cash
2021-07-26,cash
2021-07-27,cash
2021-07-28,cash
2021-07-29,cash
2021-07-30,cash
2021-08-02,cash
2021-08-03,cash
2021-08-04,cash
2021-08-05,cash
2021-08-06,cash
2021-08-09,cash
2021-08-10,ers
2021-08-11,ers
2021-08-12,bench
2021-08-13,bench
2021-08-16,bench
2021-08-17,bench
2021-08-18,bench
2021-08-19,bench
2021-08-20,bench
2021-08-23,bench
2021-08-24,bench
2021-08-25,bench
2021-08-26,bench
2021-08-27,bench
2021-08-30,bench
2021-08-31,bench
2021-09-01,bench
2021-09-02,bench
2021-09-03,bench
2021-09-07,bench
2021-09-08,bench
2021-09-09,bench
2021-09-10,bench
2021-09-13,bench
2021-09-14,bench
2021-09-15,bench
2021-09-16,bench
2021-09-17,bench
2021-09-20,bench
2021-09-21,bench
2021-09-22,bench
2021-09-23,bench
2021-09-24,bench
2021-09-27,bench
2021-09-28,cash
2021-09-29,cash
2021-09-30,cash
2021-10-01,cash
2021-10-04,cash
2021-10-05,cash
2021-10-06,cash
2021-10-07,cash
2021-10-08,cash
2021-10-11,cash
2021-10-12,cash
2021-10-13,cash
2021-10-14,strong
2021-10-15,strong
2021-10-18,strong
2021-10-19,strong
2021-10-20,strong
2021-10-21,ers
2021-10-22,strong
2021-10-25,bench
2021-10-26,bench
2021-10-27,strong
2021-10-28,bench
2021-10-29,bench
2021-11-01,bench
2021-11-02,bench
2021-11-03,bench
2021-11-04,bench
2021-11-05,bench
2021-11-08,bench
2021-11-09,bench
2021-11-10,ers
2021-11-11,ers
2021-11-12,ers
2021-11-15,ers
2021-11-16,ers
2021-11-17,ers
2021-11-18,ers
2021-11-19,ers
2021-11-22,ers
2021-11-23,ers
2021-11-24,bench
2021-11-26,bench
2021-11-29,bench
2021-11-30,bench
2021-12-01,cash
2021-12-02,bench
2021-12-03,bench
2021-12-06,bench
2021-12-07,bench
2021-12-08,bench
2021-12-09,bench
2021-12-10,bench
2021-12-13,bench
2021-12-14,bench
2021-12-15,bench
2021-12-16,bench
2021-12-17,bench
2021-12-20,cash
2021-12-21,bench
2021-12-22,bench
2021-12-23,bench
2021-12-27,bench
2021-12-28,bench
2021-12-29,bench
2021-12-30,bench
2021-12-31,ers
2022-01-03,ers
2022-01-04,ers
2022-01-05,bench
2022-01-06,bench
2022-01-07,bench
2022-01-10,bench
2022-01-11,bench
2022-01-12,ers
2022-01-13,cash
2022-01-14,cash
2022-01-18,cash
2022-01-19,cash
2022-01-20,cash
2022-01-21,cash
2022-01-24,cash
2022-01-25,cash
2022-01-26,cash
2022-01-27,cash
2022-01-28,cash
2022-01-31,cash
2022-02-01,cash
2022-02-02,cash
2022-02-03,cash
2022-02-04,cash
2022-02-07,cash
2022-02-08,cash
2022-02-09,cash
2022-02-10,cash
2022-02-11,cash
2022-02-14,cash
2022-02-15,cash
2022-02-16,cash
2022-02-17,cash
2022-02-18,cash
2022-02-22,cash
2022-02-23,cash
2022-02-24,cash
2022-02-25,cash
2022-02-28,cash
2022-03-01,cash
2022-03-02,cash
2022-03-03,cash
2022-03-04,cash
2022-03-07,cash
2022-03-08,cash
2022-03-09,cash
2022-03-10,cash
2022-03-11,cash
2022-03-14,cash
2022-03-15,cash
2022-03-16,cash
2022-03-17,cash
2022-03-18,bench
2022-03-21,bench
2022-03-22,bench
2022-03-23,bench
2022-03-24,bench
2022-03-25,bench
2022-03-28,bench
2022-03-29,bench
2022-03-30,bench
2022-03-31,bench
2022-04-01,bench
2022-04-04,bench
2022-04-05,bench
2022-04-06,bench
2022-04-07,bench
2022-04-08,bench
2022-04-11,bench
2022-04-12,bench
2022-04-13,bench
2022-04-14,bench
2022-04-18,bench
2022-04-19,bench
2022-04-20,bench
2022-04-21,bench
2022-04-22,bench
2022-04-25,bench
2022-04-26,bench
2022-04-27,bench
2022-04-28,bench
2022-04-29,bench
2022-05-02,cash
2022-05-03,cash
2022-05-04,cash
2022-05-05,cash
2022-05-06,cash
2022-05-09,cash
2022-05-10,cash
2022-05-11,cash
2022-05-12,cash
2022-05-13,cash
2022-05-16,cash
2022-05-17,cash
2022-05-18,cash
2022-05-19,cash
2022-05-20,cash
2022-05-23,cash
2022-05-24,cash
2022-05-25,cash
2022-05-26,cash
2022-05-27,cash
2022-05-31,cash
2022-06-01,cash
2022-06-02,cash
2022-06-03,cash
2022-06-06,cash
2022-06-07,cash
2022-06-08,cash
2022-06-09,cash
2022-06-10,cash
2022-06-13,cash
2022-06-14,cash
2022-06-15,cash
2022-06-16,cash
2022-06-17,cash
2022-06-21,cash
2022-06-22,cash
2022-06-23,cash
2022-06-24,cash
2022-06-27,cash
2022-06-28,cash
2022-06-29,cash
2022-06-30,cash
2022-07-01,cash
2022-07-05,cash
2022-07-06,cash
2022-07-07,cash
2022-07-08,cash
2022-07-11,cash
2022-07-12,cash
2022-07-13,cash
2022-07-14,cash
2022-07-15,cash
2022-07-18,cash
2022-07-19,cash
2022-07-20,bench
2022-07-21,bench
2022-07-22,bench
2022-07-25,bench
2022-07-26,bench
2022-07-27,bench
2022-07-28,bench
2022-07-29,bench
2022-08-01,bench
2022-08-02,bench
2022-08-03,bench
2022-08-04,bench
2022-08-05,bench
2022-08-08,bench
2022-08-09,bench
2022-08-10,bench
2022-08-11,bench
2022-08-12,bench
2022-08-15,bench
2022-08-16,bench
2022-08-17,bench
2022-08-18,bench
2022-08-19,bench
2022-08-22,bench
2022-08-23,bench
2022-08-24,bench
2022-08-25,bench
2022-08-26,bench
2022-08-29,bench
2022-08-30,bench
2022-08-31,bench
2022-09-01,bench
2022-09-02,bench
2022-09-06,bench
2022-09-07,bench
2022-09-08,bench
2022-09-09,bench
2022-09-12,bench
2022-09-13,bench
2022-09-14,bench
2022-09-15,bench
2022-09-16,bench
2022-09-19,bench
2022-09-20,bench
2022-09-21,bench
2022-09-22,bench
2022-09-23,bench
2022-09-26,bench
2022-09-27,bench
2022-09-28,bench
2022-09-29,bench
2022-09-30,bench
2022-10-03,bench
2022-10-04,cash
2022-10-05,cash
2022-10-06,cash
2022-10-07,cash
2022-10-10,cash
2022-10-11,cash
2022-10-12,cash
2022-10-13,cash
2022-10-14,cash
2022-10-17,cash
2022-10-18,cash
2022-10-19,cash
2022-10-20,cash
2022-10-21,cash
2022-10-24,cash
2022-10-25,cash
2022-10-26,cash
2022-10-27,cash
2022-10-28,bench
2022-10-31,bench
2022-11-01,bench
2022-11-02,cash
2022-11-03,cash
2022-11-04,cash
2022-11-07,bench
2022-11-08,bench
2022-11-09,cash
2022-11-10,bench
2022-11-11,bench
2022-11-14,bench
2022-11-15,bench
2022-11-16,bench
2022-11-17,bench
2022-11-18,bench
2022-11-21,bench
2022-11-22,bench
2022-11-23,bench
2022-11-25,bench
2022-11-28,bench
2022-11-29,bench
2022-11-30,bench
2022-12-01,bench
2022-12-02,bench
2022-12-05,bench
2022-12-06,ers
2022-12-07,ers
2022-12-08,ers
2022-12-09,ers
2022-12-12,ers
2022-12-13,ers
2022-12-14,ers
2022-12-15,bench
2022-12-16,cash
2022-12-19,cash
2022-12-20,cash
2022-12-21,bench
2022-12-22,cash
2022-12-23,cash
2022-12-27,cash
2022-12-28,cash
2022-12-29,cash
2022-12-30,cash
2023-01-03,cash
2023-01-04,cash
2023-01-05,cash
2023-01-06,cash
2023-01-09,cash
2023-01-10,bench
2023-01-11,ers
2023-01-12,bench
2023-01-13,ers
2023-01-17,ers
2023-01-18,ers
2023-01-19,cash
2023-01-20,strong
2023-01-23,bench
2023-01-24,bench
2023-01-25,bench
2023-01-26,bench
2023-01-27,bench
2023-01-30,strong
2023-01-31,bench
2023-02-01,bench
2023-02-02,bench
2023-02-03,bench
2023-02-06,strong
2023-02-07,bench
2023-02-08,strong
2023-02-09,strong
2023-02-10,strong
2023-02-13,bench
2023-02-14,bench
2023-02-15,bench
2023-02-16,strong
2023-02-17,strong
2023-02-21,strong
2023-02-22,strong
2023-02-23,strong
2023-02-24,cash
2023-02-27,strong
2023-02-28,cash
2023-03-01,cash
2023-03-02,strong
2023-03-03,strong
2023-03-06,strong
2023-03-07,cash
2023-03-08,strong
2023-03-09,cash
2023-03-10,cash
2023-03-13,cash
2023-03-14,cash
2023-03-15,cash
2023-03-16,cash
2023-03-17,cash
2023-03-20,cash
2023-03-21,cash
2023-03-22,cash
2023-03-23,cash
2023-03-24,cash
2023-03-27,cash
2023-03-28,cash
2023-03-29,ers
2023-03-30,ers
2023-03-31,bench
2023-04-03,bench
2023-04-04,bench
2023-04-05,bench
2023-04-06,bench
2023-04-10,bench
2023-04-11,ers
2023-04-12,bench
2023-04-13,bench
2023-04-14,bench
2023-04-17,bench
