date,side,symbol,shares,price,notional_usd,cost_usd,reason,kind
2021-08-13,BUY,SMH,394.0,126.5857,49874.78,20.05,bench_enter,bench
2021-08-18,SELL,SMH,394.0,124.2668,48961.11,19.77,bench_rotate,bench
2021-08-18,BUY,SPY,118.0,414.004,48852.47,17.0,bench_enter,bench
2021-08-24,SELL,SPY,118.0,418.6865,49405.0,17.17,bench_rotate,bench
2021-08-24,BUY,SMH,386.0,128.2594,49508.14,19.83,bench_enter,bench
2021-08-31,SELL,SMH,386.0,132.7275,51232.81,20.35,bench_rotate,bench
2021-08-31,BUY,SPY,121.0,422.5746,51131.52,17.69,bench_enter,bench
2021-09-10,SELL,SPY,121.0,421.5559,51008.26,17.66,bench_rotate,bench
2021-09-10,BUY,SMH,386.0,132.2036,51030.58,20.29,bench_enter,bench
2021-09-29,SELL,SMH,386.0,126.4547,48811.53,19.62,to_cash,bench
2021-10-15,BUY,AMBA,287.0,169.95,48775.65,18.33,strong_enter,strong
2021-10-22,SELL,AMBA,287.0,176.55,50669.85,18.9,switch_to_ers,strong
2021-10-22,BUY,SLAB,166.0,152.62,25334.92,10.09,ers_enter,ers
2021-10-25,SELL,SLAB,166.0,151.37,25127.42,10.03,switch_to_strong,ers
2021-10-25,BUY,AMBA,288.0,175.11,50431.68,18.84,strong_enter,strong
2021-10-26,SELL,AMBA,288.0,182.0,52416.0,19.44,switch_to_bench,strong
2021-10-26,BUY,SPY,122.0,428.6821,52299.22,18.05,bench_enter,bench
2021-10-28,SELL,SPY,122.0,427.0507,52100.19,17.99,switch_to_strong,bench
2021-10-28,BUY,AMBA,284.0,183.31,52060.04,19.28,strong_enter,strong
2021-10-29,SELL,AMBA,284.0,187.91,53366.44,19.67,switch_to_bench,strong
2021-10-29,BUY,SPY,124.0,427.4351,53001.95,18.26,bench_enter,bench
2021-11-01,SELL,SPY,124.0,431.5887,53517.0,18.42,bench_rotate,bench
2021-11-01,BUY,SMH,405.0,132.873,53813.58,21.37,bench_enter,bench
2021-11-11,SELL,SMH,405.0,144.327,58452.45,22.76,switch_to_ers,bench
2021-11-11,BUY,SLAB,148.0,197.28,29197.44,11.19,ers_enter,ers
2021-11-26,SELL,SLAB,148.0,193.3,28608.4,11.02,switch_to_bench,ers
2021-11-26,BUY,SMH,394.0,146.8158,57845.42,22.44,bench_enter,bench
2021-12-02,SELL,SMH,394.0,145.7824,57438.27,22.31,to_cash,bench
2021-12-03,BUY,SMH,385.0,148.8145,57293.59,22.15,bench_enter,bench
2021-12-14,SELL,SMH,385.0,143.4684,55235.32,21.54,bench_rotate,bench
2021-12-14,BUY,SPY,127.0,434.2048,55144.01,18.91,bench_enter,bench
2021-12-16,SELL,SPY,127.0,443.0935,56272.87,19.25,bench_rotate,bench
2021-12-16,BUY,SMH,373.0,151.2062,56399.92,21.73,bench_enter,bench
2021-12-17,SELL,SMH,373.0,142.6582,53211.5,20.78,bench_rotate,bench
2021-12-17,BUY,SPY,122.0,434.2812,52982.31,18.25,bench_enter,bench
2021-12-21,SELL,SPY,122.0,431.5149,52644.82,18.15,to_cash,bench
2021-12-22,BUY,SPY,121.0,435.448,52689.2,18.16,bench_enter,bench
2021-12-23,SELL,SPY,121.0,441.0559,53367.76,18.36,bench_rotate,bench
2021-12-23,BUY,SMH,357.0,149.4749,53362.55,20.61,bench_enter,bench
2021-12-27,SELL,SMH,357.0,150.8601,53857.04,20.76,bench_rotate,bench
2021-12-27,BUY,SPY,121.0,444.1703,53744.6,18.48,bench_enter,bench
2021-12-28,SELL,SPY,121.0,449.4958,54389.0,18.67,bench_rotate,bench
2021-12-28,BUY,SMH,351.0,155.0155,54410.45,20.85,bench_enter,bench
2021-12-29,SELL,SMH,351.0,152.7037,53599.0,20.61,bench_rotate,bench
2021-12-29,BUY,SPY,119.0,448.7997,53407.16,18.37,bench_enter,bench
2022-01-03,SELL,SPY,119.0,448.1597,53331.01,18.35,switch_to_ers,bench
2022-01-03,BUY,FORM,1163.0,46.0,53498.0,31.05,ers_enter,ers
2022-01-06,SELL,FORM,1163.0,43.35,50416.05,30.13,switch_to_bench,ers
2022-01-06,BUY,SPY,114.0,440.2466,50188.11,17.39,bench_enter,bench
2022-01-12,SELL,SPY,114.0,443.728,50584.99,17.51,bench_rotate,bench
2022-01-12,BUY,SMH,340.0,149.1628,50715.34,19.6,bench_enter,bench
2022-01-13,SELL,SMH,340.0,152.1721,51738.5,19.91,switch_to_ers,bench
2022-03-21,BUY,SPY,123.0,419.3868,51584.58,17.83,bench_enter,bench
2022-03-30,SELL,SPY,123.0,434.4883,53442.06,18.39,bench_rotate,bench
2022-03-30,BUY,SMH,389.0,137.5206,53495.52,21.07,bench_enter,bench
2022-03-31,SELL,SMH,389.0,134.0041,52127.59,20.66,bench_rotate,bench
