,equity
2023-01-03,15000.0
2023-01-04,15000.0
2023-01-05,15000.0
2023-01-06,15000.0
2023-01-09,15000.0
2023-01-10,15000.0
2023-01-11,15000.0
2023-01-12,15000.0
2023-01-13,15000.0
2023-01-17,15000.0
2023-01-18,15000.0
2023-01-19,15000.0
2023-01-20,15000.0
2023-01-23,15000.0
2023-01-24,15000.0
2023-01-25,15000.0
2023-01-26,15000.0
2023-01-27,15000.0
2023-01-30,15000.0
2023-01-31,15000.0
2023-02-01,15000.0
2023-02-02,15000.0
2023-02-03,15000.0
2023-02-06,15000.0
2023-02-07,15000.0
2023-02-08,15000.0
2023-02-09,15000.0
2023-02-10,15000.0
2023-02-13,15000.0
2023-02-14,15000.0
2023-02-15,15000.0
2023-02-16,15000.0
2023-02-17,15000.0
2023-02-21,15000.0
2023-02-22,15000.0
2023-02-23,15000.0
2023-02-24,15000.0
2023-02-27,15000.0
2023-02-28,15000.0
2023-03-01,15000.0
2023-03-02,15000.0
2023-03-03,15000.0
2023-03-06,15000.0
2023-03-07,15000.0
2023-03-08,15000.0
2023-03-09,15000.0
2023-03-10,15000.0
2023-03-13,15000.0
2023-03-14,15000.0
2023-03-15,15000.0
2023-03-16,15000.0
2023-03-17,14928.127385799999
2023-03-20,14979.9203858
2023-03-21,15190.081385799998
2023-03-22,14987.1233858
2023-03-23,15161.7103858
2023-03-24,15216.5413858
2023-03-27,15114.0823858
2023-03-28,15035.1923858
2023-03-29,15304.5453858
2023-03-30,15446.890385799998
2023-03-31,15699.387385799999
2023-04-03,15661.8533858
2023-04-04,15609.913385799999
2023-04-05,15458.405385799999
2023-04-06,15560.8643858
2023-04-10,15552.191385799999
2023-04-11,15454.0933858
2023-04-12,15319.9313858
2023-04-13,15614.715385799998
2023-04-14,15585.8543858
2023-04-17,15598.839385799998
2023-04-18,15599.8193858
2023-04-19,15592.6163858
2023-04-20,15475.751385799998
2023-04-21,15491.627385799999
2023-04-24,15459.8753858
2023-04-25,15173.225385799999
2023-04-26,15263.630385800001
2023-04-27,15671.506385799998
2023-04-28,15777.7873858
2023-05-01,15759.9513858
2023-05-02,15624.8093858
2023-05-03,15524.3103858
2023-05-04,15470.4593858
2023-05-05,15622.786529199999
2023-05-08,15428.7865292
2023-05-09,15411.9865292
2023-05-10,15327.186529199998
2023-05-11,15247.186529199998
2023-05-12,15202.3865292
2023-05-15,15182.786529199999
2023-05-16,15015.186529199998
2023-05-17,15415.937711999999
2023-05-18,15680.972598899998
2023-05-19,15645.910598899998
2023-05-22,15698.033598899998
2023-05-23,15500.586598899998
2023-05-24,15421.673598899999
2023-05-25,15192.254039299998
2023-05-26,15567.149281299995
2023-05-30,15636.899281299997
2023-05-31,15549.014281299997
2023-06-01,15726.584281299996
2023-06-02,15843.179281299996
2023-06-05,15854.204281299997
2023-06-06,15851.549281299995
2023-06-07,15585.689281299998
2023-06-08,15776.939281299998
2023-06-09,15836.564281299996
2023-06-12,16101.119281299998
2023-06-13,16223.474281299998
2023-06-14,16340.069281299995
2023-06-15,16532.6242813
2023-06-16,16429.709281299998
2023-06-20,16405.679281299996
2023-06-21,16184.549281299996
2023-06-22,16373.414281299996
2023-06-23,16212.854281299995
2023-06-26,15997.934281299997
2023-06-27,16269.914281299996
2023-06-28,16301.324281299996
2023-06-29,16269.014281299997
2023-06-30,16517.144281299996
2023-07-03,16555.619281299994
2023-07-05,16555.169281299997
2023-07-06,16430.474281299998
2023-07-07,16505.2106166
2023-07-10,16964.5906166
2023-07-11,17268.093616599996
2023-07-12,17287.940616599997
2023-07-13,17196.0646166
2023-07-14,17193.613119799993
2023-07-17,17407.981736199992
2023-07-18,17581.454652999997
2023-07-19,17577.406652999995
2023-07-20,17175.504652999993
2023-07-21,17081.2858193
2023-07-24,17234.704819299997
2023-07-25,16770.324819299996
2023-07-26,16440.0508193
2023-07-27,16583.704819299997
2023-07-28,16581.751819299996
2023-07-31,16735.387819299995
2023-08-01,16684.8511794
2023-08-02,16143.587371799997
2023-08-03,16382.348371799999
2023-08-04,16554.9063718
2023-08-07,16429.6703718
2023-08-08,16020.741371799999
2023-08-09,15796.320371799997
2023-08-10,15873.5664146
2023-08-11,15877.5204406
2023-08-14,15835.6337266
2023-08-15,15768.624482199999
2023-08-16,15769.835585799998
2023-08-17,15769.835585799998
2023-08-18,15769.835585799998
2023-08-21,15769.835585799998
2023-08-22,15769.835585799998
2023-08-23,15769.835585799998
2023-08-24,15769.835585799998
2023-08-25,15769.835585799998
2023-08-28,15769.835585799998
2023-08-29,15769.835585799998
2023-08-30,15769.835585799998
2023-08-31,15769.835585799998
2023-09-01,15647.0049876
2023-09-05,15534.978088599999
2023-09-06,15423.981681099998
2023-09-07,15438.356681099998
2023-09-08,15403.897931099998
2023-09-11,15972.484639099997
2023-09-12,15401.524639099998
2023-09-13,15286.0846391
2023-09-14,15435.702422099997
2023-09-15,14755.9984221
2023-09-18,14702.596014299997
2023-09-19,14702.596014299997
2023-09-20,14702.596014299997
2023-09-21,14702.596014299997
2023-09-22,14702.596014299997
2023-09-25,14702.596014299997
2023-09-26,14702.596014299997
2023-09-27,14702.596014299997
2023-09-28,14702.596014299997
2023-09-29,14702.596014299997
2023-10-02,14702.596014299997
2023-10-03,14702.596014299997
2023-10-04,14702.596014299997
2023-10-05,14702.596014299997
2023-10-06,14702.596014299997
2023-10-09,14702.596014299997
2023-10-10,14702.596014299997
2023-10-11,14821.839314299998
2023-10-12,14902.209314299998
2023-10-13,14773.9146797
2023-10-16,14821.442052499997
2023-10-17,14911.332228399997
2023-10-18,14716.418228399998
2023-10-19,14767.985519799997
2023-10-20,14767.985519799997
2023-10-23,14767.985519799997
2023-10-24,14767.985519799997
2023-10-25,14767.985519799997
2023-10-26,14767.985519799997
2023-10-27,14767.985519799997
2023-10-30,14767.985519799997
2023-10-31,14767.985519799997
2023-11-01,14767.985519799997
2023-11-02,14767.985519799997
2023-11-03,14767.985519799997
2023-11-06,14789.843059799998
2023-11-07,14927.283059799996
2023-11-08,14936.723059799997
2023-11-09,14823.723059799997
2023-11-10,15151.283059799998
2023-11-13,15104.843059799998
2023-11-14,15424.523059799996
2023-11-15,15435.963059799997
2023-11-16,15448.963059799999
2023-11-17,15452.483059799997
2023-11-20,15637.523059799998
2023-11-21,15548.163059799997
2023-11-22,15610.763059799996
2023-11-24,15589.123059799997
2023-11-27,15575.723059799997
2023-11-28,15615.883059799999
2023-11-29,15600.923059799998
2023-11-30,15562.323059799997
2023-12-01,15606.043059799997
2023-12-04,15463.523059799998
2023-12-05,15501.723059799997
2023-12-06,15413.523059799998
2023-12-07,15625.323059799997
2023-12-08,15693.843059799996
2023-12-11,15825.723059799997
2023-12-12,15949.763059799998
2023-12-13,16149.363059799998
2023-12-14,16135.603059799998
2023-12-15,16212.363059799998
2023-12-18,16311.803059799997
