,equity
2025-01-02,15009.784407220432
2025-01-03,15440.933851800512
2025-01-06,15948.703749261445
2025-01-07,15572.283598504611
2025-01-08,15462.21627672727
2025-01-10,15155.122007928441
2025-01-13,15000.662703118871
2025-01-14,15049.312101922582
2025-01-15,15400.19055040891
2025-01-16,15465.864958367894
2025-01-17,15828.297255120824
2025-01-21,16080.054426751683
2025-01-22,16370.731489739965
2025-01-23,16351.270613275121
2025-01-24,16027.75727709348
2025-01-27,14463.703352532932
2025-01-28,14583.677250621644
2025-01-29,14583.677250621644
2025-01-30,14583.677250621644
2025-01-31,14583.677250621644
2025-02-03,14583.677250621644
2025-02-04,14583.677250621644
2025-02-05,14583.677250621644
2025-02-06,14583.677250621644
2025-02-07,14583.677250621644
2025-02-10,14583.677250621644
2025-02-11,14704.772309565595
2025-02-12,14624.781647944501
2025-02-13,14825.347077632001
2025-02-14,14864.166657710126
2025-02-18,15078.260422968915
2025-02-19,15144.135773921063
2025-02-20,15171.190644526532
2025-02-21,14711.8313153029
2025-02-24,14325.402741694501
2025-02-25,14277.19353350075
2025-02-26,14277.19353350075
2025-02-27,14277.19353350075
2025-02-28,14277.19353350075
2025-03-03,14277.19353350075
2025-03-04,14277.19353350075
2025-03-05,14277.19353350075
2025-03-06,14277.19353350075
2025-03-07,14277.19353350075
2025-03-10,14277.19353350075
2025-03-11,14277.19353350075
2025-03-12,14277.19353350075
2025-03-13,14277.19353350075
2025-03-14,14277.19353350075
2025-03-17,14277.19353350075
2025-03-18,14277.19353350075
2025-03-19,14277.19353350075
2025-03-20,14277.19353350075
2025-03-21,14277.19353350075
2025-03-24,14277.19353350075
2025-03-25,14277.19353350075
2025-03-26,14277.19353350075
2025-03-27,14277.19353350075
2025-03-28,14277.19353350075
2025-03-31,14277.19353350075
2025-04-01,14277.19353350075
2025-04-02,14277.19353350075
2025-04-03,14277.19353350075
2025-04-04,14277.19353350075
2025-04-07,14277.19353350075
2025-04-08,14277.19353350075
2025-04-09,14277.19353350075
2025-04-10,14277.19353350075
2025-04-11,14277.19353350075
2025-04-14,14277.19353350075
2025-04-15,14277.19353350075
2025-04-16,14277.19353350075
2025-04-17,14277.19353350075
2025-04-21,14277.19353350075
2025-04-22,14277.19353350075
2025-04-23,14277.19353350075
2025-04-24,14277.19353350075
2025-04-25,14277.19353350075
2025-04-28,14277.19353350075
2025-04-29,14277.19353350075
2025-04-30,14277.19353350075
2025-05-01,14277.19353350075
2025-05-02,14277.19353350075
2025-05-05,14308.37275091826
2025-05-06,14177.480111758105
2025-05-07,14464.53699652373
2025-05-08,14589.597726504198
2025-05-09,14683.554940859665
2025-05-12,15591.380868594044
2025-05-13,16119.487023989548
2025-05-14,16276.947580019823
2025-05-15,16221.22110907256
2025-05-16,16175.214486758105
2025-05-19,16148.646569887987
2025-05-20,16118.190713564743
2025-05-21,15854.46245733916
2025-05-22,15811.69512335478
2025-05-23,15593.324838320605
2025-05-27,16081.256280581349
2025-05-28,15912.132898012987
2025-05-29,16023.585839907519
2025-05-30,15743.008523623339
2025-06-02,15973.043618838183
2025-06-03,16328.786111513964
2025-06-04,16520.589471499312
2025-06-05,16491.429925600878
2025-06-06,16584.09182135283
2025-06-09,16858.187585512987
2025-06-10,17189.30910650908
2025-06-11,17176.99663702666
2025-06-12,17259.290033022753
2025-06-13,16860.131555239546
2025-06-16,17274.195123354784
2025-06-17,17158.20559088408
2025-06-18,17223.003259341112
2025-06-20,17072.67092291533
2025-06-23,17179.58925787627
2025-06-24,17802.948938052046
2025-06-25,18040.111261050097
2025-06-26,18169.708581606737
2025-06-27,18248.762689272753
2025-06-30,18278.56890265166
2025-07-01,18081.581292788378
2025-07-02,18432.14052740752
2025-07-03,18585.714135805956
2025-07-07,18335.59267584502
2025-07-08,18576.64293829619
2025-07-09,18702.352319399706
2025-07-10,18838.426232973925
2025-07-11,18836.482263247362
2025-07-14,18695.87175909697
2025-07-15,19050.965600649706
2025-07-16,18952.471795718066
2025-07-17,19109.931359927046
2025-07-18,19019.215417544237
2025-07-21,19032.174554507128
2025-07-22,18699.111047427046
2025-07-23,18779.46047369658
2025-07-24,18856.570611636034
2025-07-25,18836.482263247362
2025-07-28,19090.493646304003
2025-07-29,19187.041497866503
2025-07-30,19404.766107241503
2025-07-31,18920.072961489546
2025-08-01,18607.097802798144
2025-08-04,19011.439538637987
2025-08-05,18811.212640444628
2025-08-06,18780.109124819628
2025-08-07,19071.700616518847
2025-08-08,19227.864862124316
2025-08-11,19219.44033209502
2025-08-12,19653.590264956347
2025-08-13,19730.05373541533
2025-08-14,19771.523767153612
2025-08-15,19365.238061587206
2025-08-18,19443.643518130175
2025-08-19,19055.502191225878
2025-08-20,18931.736779848925
2025-08-21,18834.538293520796
2025-08-22,19234.994073550097
2025-08-25,19253.138452212206
2025-08-26,19436.51629034697
2025-08-27,19495.482049624316
2025-08-28,19574.53615729033
2025-08-29,19017.92009894072
2025-09-02,18771.037927309862
2025-09-03,18767.796655337206
2025-09-04,18990.05388800322
2025-09-05,19211.666436831347
2025-09-08,19421.61120001494
2025-09-09,19505.201898257128
2025-09-10,19700.892205874316
2025-09-11,19901.76775519072
2025-09-12,19927.041345278612
2025-09-15,20111.71648565947
2025-09-16,20114.307122866503
2025-09-17,19987.30242315947
2025-09-18,20746.739984194628
2025-09-19,20665.093255679003
2025-09-22,21083.69143072783
2025-09-23,21053.236566225878
2025-09-24,21015.003839175097
2025-09-25,21011.76455084502
2025-09-26,21061.012445132128
2025-09-29,21115.441613833296
