,equity
2021-06-01,20000.0
2021-06-02,20000.0
2021-06-03,20000.0
2021-06-04,20000.0
2021-06-07,20000.0
2021-06-08,20000.0
2021-06-09,20000.0
2021-06-10,20000.0
2021-06-11,20000.0
2021-06-14,20000.0
2021-06-15,20000.0
2021-06-16,20000.0
2021-06-17,20000.0
2021-06-18,20000.0
2021-06-21,20000.0
2021-06-22,20000.0
2021-06-23,20000.0
2021-06-24,20000.0
2021-06-25,20000.0
2021-06-28,20000.0
2021-06-29,20000.0
2021-06-30,20000.0
2021-07-01,20000.0
2021-07-02,20000.0
2021-07-06,20000.0
2021-07-07,20000.0
2021-07-08,20000.0
2021-07-09,20000.0
2021-07-12,20000.0
2021-07-13,20000.0
2021-07-14,20000.0
2021-07-15,20000.0
2021-07-16,20000.0
2021-07-19,20000.0
2021-07-20,20000.0
2021-07-21,20000.0
2021-07-22,20000.0
2021-07-23,20000.0
2021-07-26,20000.0
2021-07-27,20000.0
2021-07-28,20000.0
2021-07-29,20000.0
2021-07-30,20000.0
2021-08-02,20000.0
2021-08-03,20000.0
2021-08-04,20000.0
2021-08-05,20000.0
2021-08-06,20000.0
2021-08-09,20000.0
2021-08-10,20000.0
2021-08-11,20000.0
2021-08-12,20000.0
2021-08-13,20006.674262963807
2021-08-16,20053.777778588807
2021-08-17,19922.334419213807
2021-08-18,19704.301216088807
2021-08-19,19734.810981713807
2021-08-20,19891.823188745057
2021-08-23,20066.788520776307
2021-08-24,20098.638618432557
2021-08-25,20140.811469995057
2021-08-26,20021.926216088807
2021-08-27,20200.930122338807
2021-08-30,20289.755317651307
2021-08-31,20259.696723901307
2021-09-01,20270.461860620057
2021-09-02,20332.829048120057
2021-09-03,20327.888130151307
2021-09-07,20255.211372338807
2021-09-08,20230.53900905756
2021-09-09,20143.956489526307
2021-09-10,19985.141059838807
2021-09-13,20036.28314968256
2021-09-14,19928.16596218256
2021-09-15,20254.438330057033
2021-09-16,20153.1100961566
2021-09-17,19807.77184695006
2021-09-20,18738.545948207382
2021-09-21,19147.05528085426
2021-09-22,19147.05528085426
2021-09-23,19147.05528085426
2021-09-24,19522.683797455822
2021-09-27,19484.183797455822
2021-09-28,19453.823690033947
2021-09-29,19545.528932380137
2021-09-30,19545.528932380137
2021-10-01,19545.528932380137
2021-10-04,19545.528932380137
2021-10-05,19545.528932380137
2021-10-06,19545.528932380137
2021-10-07,19545.528932380137
2021-10-08,19545.528932380137
2021-10-11,19545.528932380137
2021-10-12,19545.528932380137
2021-10-13,19545.528932380137
2021-10-14,19545.528932380137
2021-10-15,19585.95243669868
2021-10-18,19642.885298026806
2021-10-19,19791.689008964306
2021-10-20,19868.03092790962
2021-10-21,19918.923200858837
2021-10-22,19898.65220476509
2021-10-25,20003.460554374466
2021-10-26,20021.141523612743
2021-10-27,19934.01835466743
2021-10-28,20122.935896171337
2021-10-29,20163.042707694774
2021-11-01,20197.115949882274
2021-11-02,20277.34361101509
2021-11-03,20398.97099138618
2021-11-04,20493.42625261665
2021-11-05,20563.299421561966
2021-11-08,20580.550825370556
2021-11-09,20513.6972487104
2021-11-10,20351.526472343216
2021-11-11,20357.995222343216
2021-11-12,20508.952375663524
2021-11-15,20515.8534987104
2021-11-16,20595.64597917915
2021-11-17,20546.47477556587
2021-11-18,20615.05222917915
2021-11-19,20578.82694841743
2021-11-22,20521.892683280712
2021-11-23,20548.633833183056
2021-11-24,20602.544294608837
2021-11-26,20150.969953788524
2021-11-29,20393.79374529243
2021-11-30,20003.892927421337
2021-12-01,19785.649824393993
2021-12-02,20083.254438651806
2021-12-03,19911.59110857368
2021-12-06,20143.205488456493
2021-12-07,20552.51396013618
2021-12-08,20605.997663749466
2021-12-09,20469.27232195259
2021-12-10,20658.613813651806
2021-12-13,20478.76347185493
2021-12-14,20340.311445487743
2021-12-15,20652.57743669868
2021-12-16,20473.58622576118
2021-12-17,20259.470319999466
2021-12-20,20047.820905936966
2021-12-21,20397.539106620556
2021-12-22,20597.93699480415
2021-12-23,20723.88950945259
2021-12-27,21012.147566093216
2021-12-28,20995.265363944774
2021-12-29,21021.672407401806
2021-12-30,20964.538801444774
2021-12-31,20912.597883476024
2022-01-03,21031.622602714306
2022-01-04,21024.69901872993
2022-01-05,20627.80161882759
2022-01-06,20608.753340018993
2022-01-07,20528.684309257274
2022-01-10,20503.581403983837
2022-01-11,20687.09849382759
2022-01-12,20742.06461931587
2022-01-13,20461.16532732368
2022-01-14,20469.38883806587
2022-01-18,20113.172407401806
2022-01-19,19908.01841570259
2022-01-20,19691.60868669868
2022-01-21,19312.01884294868
2022-01-24,19392.524458183056
2022-01-25,19160.098676933056
2022-01-26,19112.9208815229
2022-01-27,19020.29618669868
2022-01-28,19483.85203386665
2022-01-31,19828.377546561966
2022-02-01,19959.953718436966
2022-02-02,20150.39579607368
2022-02-03,19685.11607195259
2022-02-04,19776.00846697212
2022-02-07,19713.682173026806
2022-02-08,19872.95689226509
2022-02-09,20158.61930681587
2022-02-10,19802.843672050243
2022-02-11,19419.35825945259
2022-02-14,19357.031965507274
2022-02-15,19663.470747245556
2022-02-16,19685.11607195259
2022-02-17,19272.20261980415
2022-02-18,19149.709089530712
2022-02-22,18948.01688982368
2022-02-23,18618.206098808056
2022-02-24,18893.049360526806
2022-02-25,19302.065840018993
2022-02-28,19253.590925468216
2022-03-01,18965.76103044868
2022-03-02,19308.123274101024
2022-03-03,19213.769087089306
2022-03-04,19060.550398124466
2022-03-07,18509.135786308056
2022-03-08,18371.49656511665
2022-03-09,18854.52604509712
2022-03-10,18770.992414726024
2022-03-11,18536.83573747993
2022-03-14,18403.95683122993
2022-03-15,18800.857038749466
2022-03-16,19209.870710624466
2022-03-17,19445.759687675243
2022-03-18,19654.856977714306
2022-03-21,19649.212263358837
2022-03-22,19874.97837664009
2022-03-23,19623.59696794868
2022-03-24,19914.05338884712
2022-03-25,20009.571333183056
2022-03-28,20149.371015800243
2022-03-29,20394.241560233837
2022-03-30,20270.507063163524
2022-03-31,19963.985456718216
