,SPY,QQQ,SMH
2021-06-01,20000.0,15000.0,15000.0
2021-06-02,20000.0,15000.0,15000.0
2021-06-03,20000.0,15000.0,15000.0
2021-06-04,20000.0,15000.0,15000.0
2021-06-07,20000.0,15000.0,15000.0
2021-06-08,20000.0,15000.0,15000.0
2021-06-09,20000.0,15000.0,15000.0
2021-06-10,20000.0,15000.0,15000.0
2021-06-11,20000.0,15000.0,15000.0
2021-06-14,20000.0,15000.0,15000.0
2021-06-15,20000.0,15000.0,15000.0
2021-06-16,20000.0,15000.0,15000.0
2021-06-17,20000.0,15000.0,15000.0
2021-06-18,20000.0,15000.0,15000.0
2021-06-21,20000.0,15000.0,15000.0
2021-06-22,20000.0,15000.0,15000.0
2021-06-23,20000.0,15000.0,15000.0
2021-06-24,20000.0,15000.0,15000.0
2021-06-25,20000.0,15000.0,15000.0
2021-06-28,20000.0,15000.0,15000.0
2021-06-29,20000.0,15000.0,15000.0
2021-06-30,20000.0,15000.0,15000.0
2021-07-01,20000.0,15000.0,15000.0
2021-07-02,20000.0,15000.0,15000.0
2021-07-06,20000.0,15000.0,15000.0
2021-07-07,20000.0,15000.0,15000.0
2021-07-08,20000.0,15000.0,15000.0
2021-07-09,20000.0,15000.0,15000.0
2021-07-12,20000.0,15000.0,15000.0
2021-07-13,20000.0,15000.0,15000.0
2021-07-14,20000.0,15000.0,15000.0
2021-07-15,20000.0,15000.0,15000.0
2021-07-16,20000.0,15000.0,15000.0
2021-07-19,20000.0,15000.0,15000.0
2021-07-20,20000.0,15000.0,15000.0
2021-07-21,20000.0,15000.0,15000.0
2021-07-22,20000.0,15000.0,15000.0
2021-07-23,20000.0,15000.0,15000.0
2021-07-26,20000.0,15000.0,15000.0
2021-07-27,20000.0,15000.0,15000.0
2021-07-28,20000.0,15000.0,15000.0
2021-07-29,20000.0,15000.0,15000.0
2021-07-30,20000.0,15000.0,15000.0
2021-08-02,20000.0,15000.0,15000.0
2021-08-03,20000.0,15000.0,15000.0
2021-08-04,20000.0,15000.0,15000.0
2021-08-05,20000.0,15000.0,15000.0
2021-08-06,20000.0,15000.0,15000.0
2021-08-09,20000.0,15000.0,15000.0
2021-08-10,20000.0,15000.0,15000.0
2021-08-11,20000.0,15000.0,14892.447528546973
2021-08-12,20000.0,15000.0,14730.371265119238
2021-08-13,20006.674262963807,15000.0,14826.041705793066
2021-08-16,20053.777778588807,15000.0,14762.450214093848
2021-08-17,19922.334419213807,15000.0,14483.885425275488
2021-08-18,19704.301216088807,15000.0,14297.613879865332
2021-08-19,19734.810981713807,15000.0,14422.544513410254
2021-08-20,19891.823188745057,15000.0,14484.448291486426
2021-08-23,20066.788520776307,15000.0,14899.198383039162
2021-08-24,20098.638618432557,15000.0,14909.326434796973
2021-08-25,20140.811469995057,15000.0,15070.835406964941
2021-08-26,20021.926216088807,15000.0,15093.911151593848
2021-08-27,20200.930122338807,15000.0,15365.722430890723
2021-08-30,20289.755317651307,15000.0,15414.116534894629
2021-08-31,20259.696723901307,15000.0,15297.626239484473
2021-09-01,20270.461860620057,15000.0,15273.98939866416
2021-09-02,20332.829048120057,15000.0,15311.133258527441
2021-09-03,20327.888130151307,15000.0,15436.06654710166
2021-09-07,20255.211372338807,15000.0,15404.553119367285
2021-09-08,20230.53900905756,15000.0,15201.960223859473
2021-09-09,20143.956489526307,15000.0,15264.424213117285
2021-09-10,19985.141059838807,15000.0,15379.22767991416
2021-09-13,20036.28314968256,15000.0,15494.029376691504
2021-09-14,19928.16596218256,15000.0,15504.159198468848
2021-09-15,20254.438330057033,15000.0,15558.181964582129
2021-09-16,20153.1100961566,15000.0,15580.693072980566
2021-09-17,19807.77184695006,15000.0,15307.193195050879
2021-09-20,18738.545948207382,15000.0,14935.775836652441
2021-09-21,19147.05528085426,15000.0,14967.291034406348
2021-09-22,19147.05528085426,15000.0,15236.286212629004
2021-09-23,19147.05528085426,15000.0,15427.06068772666
2021-09-24,19522.683797455822,15000.0,15385.417438214941
2021-09-27,19484.183797455822,15000.0,15330.830035871191
2021-09-28,19453.823690033947,15000.0,14715.739398664162
2021-09-29,19545.528932380137,15000.0,14718.568130884336
2021-09-30,19545.528932380137,15000.0,14718.568130884336
2021-10-01,19545.528932380137,15000.0,14718.568130884336
2021-10-04,19545.528932380137,15000.0,14718.568130884336
2021-10-05,19545.528932380137,15000.0,14718.568130884336
2021-10-06,19545.528932380137,15000.0,14718.568130884336
2021-10-07,19545.528932380137,15000.0,14718.568130884336
2021-10-08,19545.528932380137,15000.0,14718.568130884336
2021-10-11,19545.528932380137,15000.0,14718.568130884336
2021-10-12,19545.528932380137,15000.0,14718.568130884336
2021-10-13,19545.528932380137,15000.0,14718.568130884336
2021-10-14,19545.528932380137,15000.0,14718.568130884336
2021-10-15,19585.95243669868,15000.0,14718.568130884336
2021-10-18,19642.885298026806,15000.0,14718.568130884336
2021-10-19,19791.689008964306,15000.0,14859.50300753862
2021-10-20,19868.03092790962,15000.0,14794.24211276323
2021-10-21,19918.923200858837,15000.0,14962.368455536667
2021-10-22,19898.65220476509,15000.0,14830.742082245652
2021-10-25,20003.460554374466,15000.0,14905.406724579636
2021-10-26,20021.141523612743,15000.0,14990.023057587448
2021-10-27,19934.01835466743,15000.0,14863.926561005417
2021-10-28,20122.935896171337,15000.0,15145.98332370073
2021-10-29,20163.042707694774,15000.0,15189.121232636277
2021-11-01,20197.115949882274,15000.0,15362.779191620652
2021-11-02,20277.34361101509,15000.0,15531.460435517136
2021-11-03,20398.97099138618,15000.0,15684.654893524948
2021-11-04,20493.42625261665,15000.0,16331.725267060105
2021-11-05,20563.299421561966,15000.0,16458.92634738237
