,equity
2021-06-01,49639.52931425446
2021-06-02,49717.6175710904
2021-06-03,49533.05131742829
2021-06-04,49986.182573531805
2021-06-07,49937.666155074774
2021-06-08,49948.320543502516
2021-06-09,49873.78633329743
2021-06-10,50105.67527983063
2021-06-11,50188.49580595368
2021-06-14,50300.892046188055
2021-06-15,50208.61473295563
2021-06-16,49928.21324369782
2021-06-17,49911.65611479158
2021-06-18,49238.162340377516
2021-06-21,49943.2162039029
2021-06-22,50210.28129789704
2021-06-23,50149.75398466462
2021-06-24,50446.495561813055
2021-06-25,50625.736559127516
2021-06-28,50727.81172392243
2021-06-29,50755.1085073697
2021-06-30,50797.85008451813
2021-07-01,51079.15461943024
2021-07-02,51469.68116972321
2021-07-06,51375.90782377595
2021-07-07,51557.5052664029
2021-07-08,51137.3138601529
2021-07-09,51683.33479521149
2021-07-12,51868.49403593415
2021-07-13,51691.63273832673
2021-07-14,51768.79469511384
2021-07-15,51591.92564604158
2021-07-16,51187.182909225165
2021-07-19,50431.07014677399
2021-07-20,51153.93687651032
2021-07-21,51568.190660690016
2021-07-22,51676.21119902009
2021-07-23,52207.977190231024
2021-07-26,52336.17091581696
2021-07-27,52097.596330856024
2021-07-28,52076.22166654938
2021-07-29,52292.24724027985
2021-07-30,52038.24724027985
2021-08-02,51929.04072782868
2021-08-03,52351.60020658845
2021-08-04,52094.0306570279
2021-08-05,52424.014391158766
2021-08-06,52510.6602651822
2021-08-09,52467.92256376618
2021-08-10,52533.20540068024
2021-08-11,52663.77882597321
2021-08-12,52821.64903471345
2021-08-13,52917.7943289029
2021-08-16,53042.42238066071
2021-08-17,52694.645158981024
2021-08-18,52117.76564237946
2021-08-19,52198.489397262274
2021-08-20,52613.91752836579
2021-08-23,53076.846636031805
2021-08-24,53161.11668608063
2021-08-25,53272.699022506415
2021-08-26,52958.14845487946
2021-08-27,53431.76295683259
2021-08-30,53666.77961943024
2021-08-31,53587.24959013337
2021-09-01,53615.73234770173
2021-09-02,53780.74553129548
2021-09-03,53767.67268583649
2021-09-07,53575.38209745759
2021-09-08,53510.10313627595
2021-09-09,53281.02022001618
2021-09-10,52860.82106230134
2021-09-13,52996.134508346266
2021-09-14,52710.074449752516
2021-09-15,53150.44291899079
2021-09-16,53066.1612417447
2021-09-17,52549.13078520173
2021-09-20,51672.7230398404
2021-09-21,51623.888811324774
2021-09-22,52127.58287260408
2021-09-23,52761.09071562165
2021-09-24,52848.01951811188
2021-09-27,52696.78843901032
2021-09-28,51634.60908720368
2021-09-29,51721.53401396149
2021-09-30,51089.23152372712
2021-10-01,51696.52391264313
2021-10-04,51029.68864652985
2021-10-05,51560.78026029938
2021-10-06,51775.116014693915
2021-10-07,52222.85225126618
2021-10-08,52127.58287260408
2021-10-11,51750.1136648404
