,equity
2021-06-01,50000.0
2021-06-02,50000.0
2021-06-03,50000.0
2021-06-04,50000.0
2021-06-07,50000.0
2021-06-08,50000.0
2021-06-09,50000.0
2021-06-10,50000.0
2021-06-11,50000.0
2021-06-14,50000.0
2021-06-15,50000.0
2021-06-16,50000.0
2021-06-17,50000.0
2021-06-18,50000.0
2021-06-21,50000.0
2021-06-22,50000.0
2021-06-23,50000.0
2021-06-24,50000.0
2021-06-25,50000.0
2021-06-28,50000.0
2021-06-29,50000.0
2021-06-30,50000.0
2021-07-01,50000.0
2021-07-02,50000.0
2021-07-06,50000.0
2021-07-07,50000.0
2021-07-08,50000.0
2021-07-09,50000.0
2021-07-12,50000.0
2021-07-13,50000.0
2021-07-14,50000.0
2021-07-15,50000.0
2021-07-16,50000.0
2021-07-19,50000.0
2021-07-20,50000.0
2021-07-21,50000.0
2021-07-22,50000.0
2021-07-23,50000.0
2021-07-26,50000.0
2021-07-27,50000.0
2021-07-28,50000.0
2021-07-29,50000.0
2021-07-30,50000.0
2021-08-02,50000.0
2021-08-03,50000.0
2021-08-04,50000.0
2021-08-05,50000.0
2021-08-06,50000.0
2021-08-09,50000.0
2021-08-10,50000.0
2021-08-11,49892.447528546974
2021-08-12,49730.37126511924
2021-08-13,49832.71596875687
2021-08-16,49816.22799268265
2021-08-17,49406.21984448929
2021-08-18,49001.91509595414
2021-08-19,49157.35549512406
2021-08-20,49376.27148023148
2021-08-23,49965.986903815465
2021-08-24,50007.96505322953
2021-08-25,50211.646876959996
2021-08-26,50115.83736768265
2021-08-27,50566.65255322953
2021-08-30,50703.87185254593
2021-08-31,50557.32296338578
2021-09-01,50544.451259284215
2021-09-02,50643.962306647496
2021-09-03,50763.954677252965
2021-09-07,50659.76449170609
2021-09-08,50432.499232917035
2021-09-09,50408.38070264359
2021-09-10,50364.368739752965
2021-09-13,50530.312526374066
2021-09-14,50432.32516065141
2021-09-15,50812.620294639164
2021-09-16,50733.803169137165
2021-09-17,50114.96504200094
2021-09-20,48674.32178485982
2021-09-21,49114.346315260605
2021-09-22,49383.34149348326
2021-09-23,49574.11596858092
2021-09-24,49908.101235670765
2021-09-27,49815.013833327015
2021-09-28,49169.56308869811
2021-09-29,49264.097063264475
2021-09-30,49264.097063264475
2021-10-01,49264.097063264475
2021-10-04,49264.097063264475
2021-10-05,49264.097063264475
2021-10-06,49264.097063264475
2021-10-07,49264.097063264475
2021-10-08,49264.097063264475
2021-10-11,49264.097063264475
2021-10-12,49264.097063264475
2021-10-13,49264.097063264475
2021-10-14,49264.097063264475
2021-10-15,49304.520567583015
2021-10-18,49361.45342891114
2021-10-19,49651.19201650293
2021-10-20,49662.27304067285
2021-10-21,49881.29165639551
2021-10-22,49729.39428701074
2021-10-25,49908.8672789541
2021-10-26,50011.164581200195
2021-10-27,49797.94491567285
2021-10-28,50268.91921987207
2021-10-29,50352.163940331055
2021-11-01,50559.89514150293
2021-11-02,50808.80404653223
2021-11-03,51083.62588491113
2021-11-04,51825.15151967676
2021-11-05,52022.225768944336
2021-11-08,52334.806335350586
2021-11-09,52290.07574453027
2021-11-10,51600.29489125879
2021-11-11,51898.22241201074
2021-11-12,52216.7527464834
2021-11-15,52201.534362694336
2021-11-16,52497.01464833887
2021-11-17,52347.7403258291
2021-11-18,52828.34143056543
2021-11-19,52900.5166930166
2021-11-22,52583.09374990137
2021-11-23,52486.50421132715
2021-11-24,52710.755401512695
2021-11-26,51764.7537230459
2021-11-29,52672.3438414541
2021-11-30,51921.85122670801
2021-12-01,51643.88232412012
2021-12-02,51985.174529930664
2021-12-03,51622.15728749902
2021-12-06,51790.17025746973
2021-12-07,53004.16711415918
2021-12-08,52982.43823232324
2021-12-09,52426.499877831055
2021-12-10,52723.13211049707
2021-12-13,52101.94750966699
2021-12-14,51867.81939687402
2021-12-15,52861.443084618164
2021-12-16,51936.937866112305
2021-12-17,51645.94815053613
2021-12-20,51311.58731069238
2021-12-21,52246.78707875879
2021-12-22,52646.79455556543
2021-12-23,52918.97830190332
2021-12-27,53668.72622670801
2021-12-28,53478.36871328027
2021-12-29,53501.997772118164
2021-12-30,53246.92102040918
2021-12-31,53137.15557851465
2022-01-03,53634.82464589746
2022-01-04,53536.71463002832
2022-01-05,52540.99194326074
2022-01-06,52689.30288686426
2022-01-07,52318.69796180804
2022-01-10,52151.15001053698
2022-01-11,52334.667100380735
2022-01-12,52383.967183883346
2022-01-13,51815.05324345366
2022-01-14,52168.137914474166
2022-01-18,51068.60460453764
2022-01-19,50424.92981510894
2022-01-20,49735.89612370268
2022-01-21,49107.27103214995
2022-01-24,49376.176519210494
2022-01-25,48553.64488774077
2022-01-26,48939.32134914998
2022-01-27,48846.69665432576
2022-01-28,49310.25250149373
2022-01-31,49654.77801418905
2022-02-01,49786.35418606405
2022-02-02,49976.79626370076
2022-02-03,49511.51653957967
2022-02-04,49602.408934599196
2022-02-07,49540.08264065388
2022-02-08,49699.35735989217
2022-02-09,49985.019774442946
2022-02-10,49629.24413967732
2022-02-11,49245.75872707967
2022-02-14,49183.43243313435
2022-02-15,49489.87121487263
2022-02-16,49511.51653957967
2022-02-17,49098.60308743123
2022-02-18,48976.10955715779
2022-02-22,48774.41735745076
2022-02-23,48444.60656643513
2022-02-24,48719.44982815388
2022-02-25,49128.46630764607
2022-02-28,49079.9913930953
2022-03-01,48792.16149807576
2022-03-02,49134.5237417281
2022-03-03,49040.16955471638
2022-03-04,48886.95086575155
2022-03-07,48335.53625393513
2022-03-08,48197.89703274373
2022-03-09,48680.926512724196
2022-03-10,48597.3928823531
2022-03-11,48363.23620510701
2022-03-14,48230.35729885701
2022-03-15,48627.25750637655
2022-03-16,49036.27117825155
2022-03-17,49272.16015530232
2022-03-18,49481.25744534138
2022-03-21,49475.612730985915
2022-03-22,49701.37884426717
2022-03-23,49449.99743557576
2022-03-24,49740.453856474196
2022-03-25,49787.89607288619
2022-03-28,50034.9984593608
2022-03-29,50616.255569956505
2022-03-30,50050.97688343307
2022-03-31,49445.08729603073
2022-04-01,49266.20686390182
2022-04-04,49669.650925181115
2022-04-05,48794.64698841354
2022-04-06,48312.3476567485
2022-04-07,48412.176758311
2022-04-08,48037.64010669967
2022-04-11,47407.74179126998
2022-04-12,47267.22766163131
2022-04-13,47790.985352061
2022-04-14,47150.02336170455
2022-04-18,47376.73085071823
2022-04-19,47603.988717390355
2022-04-20,47589.66004307395
2022-04-21,47300.93732578879
2022-04-22,46779.065865827855
2022-04-25,46886.305611921605
2022-04-26,46347.505624128644
2022-04-27,46398.30524571067
2022-04-28,46855.91455967551
2022-04-29,46169.498483015355
2022-05-02,46277.17060215598
2022-05-03,46359.66260655051
2022-05-04,46910.18720371848
2022-05-05,46706.71990140565
2022-05-06,46706.71990140565
2022-05-09,46706.71990140565
2022-05-10,46706.71990140565
2022-05-11,46706.71990140565
2022-05-12,46706.71990140565
2022-05-13,46706.71990140565
2022-05-16,46706.71990140565
2022-05-17,46706.71990140565
2022-05-18,46706.71990140565
2022-05-19,46706.71990140565
2022-05-20,46706.71990140565
2022-05-23,46706.71990140565
2022-05-24,46706.71990140565
2022-05-25,46706.71990140565
2022-05-26,46706.71990140565
2022-05-27,46706.71990140565
2022-05-31,46672.0882770576
2022-06-01,46460.33421821971
2022-06-02,46441.054815455085
2022-06-03,46336.22194179709
2022-06-06,46536.90131948338
2022-06-07,46536.90131948338
2022-06-08,46324.12915990729
2022-06-09,46234.08404286704
2022-06-10,46234.08404286704
2022-06-13,46234.08404286704
2022-06-14,46234.08404286704
2022-06-15,46234.08404286704
2022-06-16,46234.08404286704
2022-06-17,46234.08404286704
2022-06-21,46234.08404286704
2022-06-22,46234.08404286704
2022-06-23,46234.08404286704
2022-06-24,46234.08404286704
2022-06-27,46234.08404286704
2022-06-28,46234.08404286704
2022-06-29,46234.08404286704
2022-06-30,46234.08404286704
2022-07-01,46234.08404286704
2022-07-05,46234.08404286704
2022-07-06,46234.08404286704
2022-07-07,46234.08404286704
2022-07-08,46234.08404286704
2022-07-11,46234.08404286704
2022-07-12,46234.08404286704
2022-07-13,46234.08404286704
2022-07-14,46234.08404286704
2022-07-15,46234.08404286704
2022-07-18,46234.08404286704
2022-07-19,46234.08404286704
2022-07-20,46560.54121832993
2022-07-21,46985.194470951334
2022-07-22,46517.92156750895
2022-07-25,46462.829709598795
2022-07-26,46051.9710212443
2022-07-27,47110.73760754802
2022-07-28,47507.04856641032
2022-07-29,47896.6067634318
2022-08-01,47865.47494275309
2022-08-02,47709.786084720865
2022-08-03,48327.90835339763
2022-08-04,48451.96841199137
2022-08-05,48325.94140393473
2022-08-08,48069.110776493326
2022-08-09,47434.25568921306
2022-08-10,48360.29156262614
2022-08-11,48357.51183850505
2022-08-12,49069.25288159587
2022-08-15,49214.387158939615
2022-08-16,49099.626065799974
2022-08-17,48664.27132947184
2022-08-18,48908.197064945474
2022-08-19,48257.02769238688
2022-08-22,47385.0384040568
2022-08-23,47419.38163525798
2022-08-24,47473.60110242106
2022-08-25,48176.29736096598
2022-08-26,46774.34422070719
2022-08-29,46417.686643192545
2022-08-30,46069.19512707926
2022-08-31,45843.84934766032
2022-09-01,45641.848752567545
2022-09-02,45585.75291899736
2022-09-06,45515.612843313764
2022-09-07,45848.33226470048
2022-09-08,45971.56224516923
2022-09-09,46266.365101614545
2022-09-12,46473.481800833295
2022-09-13,45626.51829985673
2022-09-14,45697.60899809892
2022-09-15,45485.27989653642
2022-09-16,45344.22002104814
2022-09-19,45486.51585845048
2022-09-20,45274.26152495439
2022-09-21,44955.40623930986
2022-09-22,44804.54259184892
2022-09-23,44506.14629057939
2022-09-26,44332.91478423173
2022-09-27,44288.65819243486
2022-09-28,44628.92918852861
2022-09-29,44260.58049468095
2022-09-30,43993.6005142122
2022-10-03,44171.90373854332
2022-10-04,44171.90373854332
2022-10-05,44171.90373854332
2022-10-06,44171.90373854332
2022-10-07,44171.90373854332
2022-10-10,44171.90373854332
2022-10-11,44171.90373854332
2022-10-12,44171.90373854332
2022-10-13,44171.90373854332
2022-10-14,44171.90373854332
2022-10-17,44171.90373854332
2022-10-18,44171.90373854332
2022-10-19,44171.90373854332
2022-10-20,44171.90373854332
2022-10-21,44171.90373854332
2022-10-24,44171.90373854332
2022-10-25,44171.90373854332
2022-10-26,44171.90373854332
2022-10-27,44171.90373854332
2022-10-28,44171.90373854332
2022-10-31,44154.62917611498
2022-11-01,44080.63582894701
2022-11-02,43658.12874886888
2022-11-03,43502.25836554938
2022-11-04,43502.25836554938
2022-11-07,43502.25836554938
2022-11-08,43563.15472774766
2022-11-09,42903.5641210582
2022-11-10,44672.018626498786
2022-11-11,45204.33289825572
2022-11-14,44937.99830352916
2022-11-15,45489.10735809459
2022-11-16,44878.632168885604
2022-11-17,44925.53951751842
2022-11-18,45024.30686676158
2022-11-21,44735.50484954967
2022-11-22,45330.973416444205
2022-11-23,45551.35229217662
2022-11-25,45391.08643829479
2022-11-28,44811.61678802623
2022-11-29,44748.03185760631
2022-11-30,46000.72565948619
2022-12-01,45944.72608673229
2022-12-02,45739.39428436412
2022-12-05,45273.95971405162
2022-12-06,44744.14156829967
2022-12-07,44713.107251283065
2022-12-08,45169.958310243026
2022-12-09,44940.07652008189
2022-12-12,45410.792950745956
2022-12-13,45894.393731087715
2022-12-14,45491.81424534706
2022-12-15,44696.17646127224
2022-12-16,44317.49347068985
2022-12-19,44174.00556458749
2022-12-20,44195.884714978114
2022-12-21,44435.27570618905
2022-12-22,43920.39396168497
2022-12-23,43918.25451655012
2022-12-27,43854.727905222
2022-12-28,43655.305908151684
2022-12-29,43940.553955026684
2022-12-30,43898.05920405012
2023-01-03,43830.328369089184
2023-01-04,43954.0179442845
2023-01-05,43769.74108881575
2023-01-06,44135.766357370434
2023-01-09,44160.83756168366
2023-01-10,44437.44921787262
2023-01-11,44793.608183937075
2023-01-12,45045.801795082094
2023-01-13,45157.33857639313
