ticker,strategy,datetime,side,delta_weight,position_after,open,close,cost_return
PYPL,sma_10_30,2026-03-17,BUY,1.0,1.0,45.6894,45.9784,0.0004
PYPL,sma_10_30,2026-03-31,SELL,-1.0,0.0,44.593,45.0814,0.0004
PYPL,sma_10_30,2026-04-14,BUY,1.0,1.0,47.7825,47.8124,0.0004
PYPL,sma_10_30,2026-05-13,SELL,-1.0,0.0,44.8123,45.0814,0.0004
PYPL,sma_10_30,2026-07-06,BUY,1.0,1.0,44.45,45.09,0.0004
PYPL,regime_trend,2026-03-31,BUY,1.0,1.0,44.593,45.0814,0.0004
PYPL,regime_trend,2026-05-06,SELL,-1.0,0.0,46.5316,46.118,0.0004
PYPL,regime_trend,2026-05-07,BUY,1.0,1.0,46.2775,46.0681,0.0004
PYPL,regime_trend,2026-05-14,SELL,-1.0,0.0,45.191,44.892,0.0004
PYPL,regime_trend,2026-07-07,BUY,1.0,1.0,45.43,45.65,0.0004
PYPL,regime_trend,2026-07-16,SELL,-1.0,0.0,55.41,56.73,0.0004
NVDA,sma_10_30,2026-04-15,BUY,1.0,1.0,196.3112,198.6385,0.0004
NVDA,sma_10_30,2026-06-10,SELL,-1.0,0.0,204.43,200.42,0.0004
NVDA,sma_10_30,2026-07-20,BUY,1.0,1.0,205.87,203.28,0.0004
NVDA,sma_10_30,2026-07-31,SELL,-1.0,0.0,198.44,200.75,0.0004
NVDA,sma_10_30,2026-08-04,BUY,1.0,1.0,211.3,211.94,0.0004
NVDA,regime_trend,2026-04-15,BUY,1.0,1.0,196.3112,198.6385,0.0004
NVDA,regime_trend,2026-05-19,SELL,-1.0,0.0,219.3643,220.3532,0.0004
NVDA,regime_trend,2026-05-26,BUY,1.0,1.0,216.2879,214.6099,0.0004
NVDA,regime_trend,2026-06-08,SELL,-1.0,0.0,210.18,208.64,0.0004
NVDA,regime_trend,2026-06-10,BUY,1.0,1.0,204.43,200.42,0.0004
NVDA,regime_trend,2026-06-11,SELL,-1.0,0.0,201.49,204.87,0.0004
NVDA,regime_trend,2026-07-22,BUY,1.0,1.0,205.81,212.06,0.0004
NVDA,regime_trend,2026-07-30,SELL,-1.0,0.0,193.45,195.04,0.0004
MU,sma_10_30,2026-03-18,BUY,1.0,1.0,464.4934,461.4651,0.0004
MU,sma_10_30,2026-03-31,SELL,-1.0,0.0,321.6206,337.7881,0.0004
MU,sma_10_30,2026-04-16,BUY,1.0,1.0,452.8903,457.1597,0.0004
MU,sma_10_30,2026-07-14,SELL,-1.0,0.0,988.38,983.12,0.0004
MU,regime_trend,2026-04-16,BUY,1.0,1.0,452.8903,457.1597,0.0004
MU,regime_trend,2026-05-18,SELL,-1.0,0.0,750.3446,681.4352,0.0004
MU,regime_trend,2026-05-21,BUY,1.0,1.0,736.2468,761.9828,0.0004
MU,regime_trend,2026-05-27,SELL,-1.0,0.0,955.513,928.2672,0.0004
QQQ,sma_10_30,2026-04-15,BUY,1.0,1.0,628.3894,636.7003,0.0004
QQQ,sma_10_30,2026-06-22,SELL,-1.0,0.0,742.02,737.95,0.0004
QQQ,sma_10_30,2026-06-23,BUY,1.0,1.0,715.74,713.65,0.0004
QQQ,sma_10_30,2026-07-02,SELL,-1.0,0.0,725.58,712.6,0.0004
QQQ,regime_trend,2026-04-21,BUY,1.0,1.0,647.6982,643.6227,0.0004
QQQ,regime_trend,2026-06-08,SELL,-1.0,0.0,717.022,715.2839,0.0004
